release,date
v0.99.2,2005-07-26
v0.99.3,2005-08-01
v0.99.4,2005-08-10
v0.99.5,2005-08-24
v0.99.6,2005-09-07
v0.99.7,2005-09-18
v0.99.7a,2005-09-21
v0.99.7b,2005-09-22
v0.99.7c,2005-09-24
v0.99.7d,2005-09-25
v0.99.8,2005-10-02
v0.99.8a,2005-10-03
v0.99.8b,2005-10-05
v0.99.8c,2005-10-09
v0.99.8d,2005-10-15
v0.99.8e,2005-10-17
v0.99.8f,2005-10-19
v0.99.8g,2005-10-23
v0.99.9,2005-10-29
v0.99.9a,2005-10-30
v0.99.9b,2005-11-01
v0.99.9c,2005-11-03
v0.99.9d,2005-11-05
v0.99.9e,2005-11-06
v0.99.9f,2005-11-08
v0.99.9g,2005-11-09
v0.99.9h,2005-11-11
v0.99.9i,2005-11-14
v0.99.9j,2005-11-16
v0.99.9k,2005-11-25
v0.99.9l,2005-12-03
v0.99.9m,2005-12-11
v0.99.9n,2005-12-14
v1.0.0,2005-12-21
v1.0.0a,2005-12-21
v1.0.1,2005-12-21
v1.0.0b,2005-12-21
v1.0.2,2005-12-21
v1.0.3,2005-12-22
v1.0.4,2005-12-24
v1.0.5,2005-12-26
v1.0.6,2005-12-27
v1.0.7,2006-01-05
v1.0.8,2006-01-07
v1.1.0,2006-01-08
v1.1.1,2006-01-10
v1.0.9,2006-01-10
v1.0.10,2006-01-13
v1.1.2,2006-01-13
v1.0.11,2006-01-15
v1.1.3,2006-01-15
v1.0.12,2006-01-19
v1.1.4,2006-01-19
v1.0.13,2006-01-27
v1.1.5,2006-01-27
v1.1.6,2006-01-29
v1.2.0,2006-02-12
v1.2.1,2006-02-15
v1.2.2,2006-02-18
v1.2.3,2006-02-22
v1.2.4,2006-03-01
v1.2.5,2006-04-03
v1.2.6,2006-04-07
v1.3.0,2006-04-18
v1.3.1,2006-04-24
v1.3.2,2006-05-03
v1.3.3,2006-05-15
v1.4.0,2006-06-10
v1.4.1,2006-07-01
v1.4.1.1,2006-07-24
v1.4.2,2006-08-12
v1.4.2.1,2006-09-13
v1.4.2.2,2006-09-29
v1.4.2.3,2006-10-02
v1.4.2.4,2006-10-16
v1.4.3,2006-10-18
v1.4.3.1,2006-10-20
v1.4.3.2,2006-10-23
v1.4.3.3,2006-10-25
v1.4.3.4,2006-11-04
v1.4.3.5,2006-11-11
v1.4.4,2006-11-14
v1.4.4.1,2006-11-22
v1.4.4.2,2006-12-06
v1.4.4.3,2006-12-20
v1.4.4.4,2007-01-04
gitgui-0.6.0,2007-02-12
v1.5.0,2007-02-14
v1.5.0.1,2007-02-18
gitgui-0.6.1,2007-02-21
v1.5.0.2,2007-02-26
gitgui-0.6.2,2007-02-26
v1.5.0.3,2007-03-04
gitgui-0.6.3,2007-03-06
gitgui-0.6.4,2007-03-12
gitgui-0.6.5,2007-03-12
v1.5.0.4,2007-03-14
v1.5.0.5,2007-03-18
v1.5.0.6,2007-03-28
v1.5.0.7,2007-04-03
v1.5.1,2007-04-03
v1.5.1.1,2007-04-11
v1.5.1.2,2007-04-21
v1.5.1.3,2007-04-30
v1.5.1.4,2007-05-08
gitgui-0.7.0,2007-05-10
gitgui-0.7.1,2007-05-17
v1.5.1.5,2007-05-18
v1.5.1.6,2007-05-20
v1.5.2,2007-05-20
gitgui-0.7.2,2007-05-27
v1.5.2.1,2007-06-02
gitgui-0.7.3,2007-06-08
v1.5.2.2,2007-06-16
gitgui-0.7.4,2007-06-27
v1.5.2.3,2007-07-02
gitgui-0.7.5,2007-07-12
v1.5.2.4,2007-07-12
gitgui-0.8.0,2007-07-29
gitgui-0.8.1,2007-08-04
v1.5.2.5,2007-08-15
gitgui-0.8.2,2007-08-24
v1.5.3,2007-09-02
v1.5.3.1,2007-09-03
gitgui-0.8.3,2007-09-16
v1.5.3.2,2007-09-19
v1.5.3.3,2007-09-29
v1.5.3.4,2007-10-03
gitgui-0.8.4,2007-10-20
v1.5.3.5,2007-10-31
v1.5.3.6,2007-11-18
gitgui-0.9.0,2007-11-21
v1.5.3.7,2007-12-01
gitgui-0.9.1,2007-12-29
v1.5.3.8,2008-01-07
gitgui-0.9.2,2008-01-22
v1.5.4,2008-02-01
v1.5.4.1,2008-02-09
v1.5.4.2,2008-02-17
v1.5.4.3,2008-02-23
gitgui-0.9.3,2008-02-28
v1.5.4.4,2008-03-08
v1.5.4.5,2008-03-27
gitgui-0.10.0,2008-04-02
gitgui-0.10.1,2008-04-05
v1.5.5,2008-04-07
v1.5.5.1,2008-04-20
v1.5.5.2,2008-05-23
gitgui-0.10.2,2008-05-26
v1.5.5.3,2008-05-27
v1.5.5.4,2008-06-07
v1.5.6,2008-06-18
v1.5.6.1,2008-06-25
v1.5.4.6,2008-06-26
v1.5.5.5,2008-06-26
v1.5.6.2,2008-07-04
v1.5.6.3,2008-07-13
v1.4.4.5,2008-07-16
v1.5.6.4,2008-07-19
v1.5.6.5,2008-08-06
gitgui-0.11.0,2008-08-10
v1.6.0,2008-08-17
v1.6.0.1,2008-08-24
v1.6.0.2,2008-09-12
v1.6.0.3,2008-10-21
v1.6.0.4,2008-11-08
v1.6.0.5,2008-12-07
v1.5.4.7,2008-12-16
v1.5.5.6,2008-12-16
v1.5.6.6,2008-12-16
gitgui-0.12.0,2008-12-17
v1.6.0.6,2008-12-19
v1.6.1,2008-12-24
v1.6.1.1,2009-01-25
v1.6.1.2,2009-01-29
v1.6.1.3,2009-02-07
v1.6.2,2009-03-03
v1.6.2.1,2009-03-15
v1.6.2.2,2009-04-02
v1.6.2.3,2009-04-12
v1.6.2.4,2009-04-19
v1.6.1.4,2009-05-03
v1.6.2.5,2009-05-03
v1.6.3,2009-05-06
v1.6.3.1,2009-05-12
v1.6.3.2,2009-06-03
v1.6.3.3,2009-06-21
v1.6.3.4,2009-07-28
v1.6.4,2009-07-29
v1.6.4.1,2009-08-21
v1.6.4.2,2009-08-29
v1.6.4.3,2009-09-13
v1.6.4.4,2009-09-16
v1.6.5,2009-10-10
v1.6.5.1,2009-10-16
v1.6.5.2,2009-10-25
v1.6.5.3,2009-11-16
v1.6.5.4,2009-12-03
v1.6.5.5,2009-12-05
v1.6.5.6,2009-12-10
v1.6.5.7,2009-12-16
v1.6.6,2009-12-23
v1.6.5.8,2010-01-20
v1.6.6.1,2010-01-20
v1.6.6.2,2010-02-10
v1.7.0,2010-02-12
v1.7.0.1,2010-02-28
v1.7.0.2,2010-03-07
v1.7.0.3,2010-03-21
v1.7.0.4,2010-03-31
v1.7.0.5,2010-04-11
v1.7.0.6,2010-04-22
v1.7.1,2010-04-23
v1.7.1.1,2010-06-29
v1.7.2,2010-07-21
v1.7.0.7,2010-07-27
v1.7.1.2,2010-07-27
v1.7.2.1,2010-07-27
v1.7.2.2,2010-08-19
v1.7.2.3,2010-09-03
gitgui-0.13.0,2010-09-14
v1.7.3,2010-09-18
v1.7.3.1,2010-09-29
v1.7.3.2,2010-10-21
v1.7.0.8,2010-12-02
v1.7.1.3,2010-12-02
v1.7.2.4,2010-12-02
v1.7.3.3,2010-12-03
v1.6.4.5,2010-12-15
v1.6.5.9,2010-12-15
v1.6.6.3,2010-12-15
v1.7.0.9,2010-12-15
v1.7.1.4,2010-12-15
v1.7.2.5,2010-12-15
v1.7.3.4,2010-12-15
v1.7.3.5,2011-01-05
v1.7.4,2011-01-30
v1.7.4.1,2011-02-11
gitgui-0.14.0,2011-03-25
v1.7.4.2,2011-03-25
v1.7.4.3,2011-04-03
v1.7.4.4,2011-04-06
v1.7.4.5,2011-04-19
v1.7.5,2011-04-23
v1.7.5.1,2011-05-04
v1.7.5.2,2011-05-19
v1.7.5.3,2011-05-26
v1.7.5.4,2011-06-01
v1.7.6,2011-06-26
v1.7.6.1,2011-08-24
v1.7.6.2,2011-09-06
v1.7.6.3,2011-09-12
v1.7.6.4,2011-09-23
v1.7.7,2011-09-30
gitgui-0.15.0,2011-10-19
v1.7.7.1,2011-10-23
v1.7.7.2,2011-11-01
v1.7.7.3,2011-11-08
v1.7.7.4,2011-11-18
v1.7.8,2011-12-02
gitgui-0.16.0,2011-12-13
v1.7.6.5,2011-12-13
v1.7.7.5,2011-12-13
v1.7.8.1,2011-12-21
v1.7.8.2,2011-12-28
v1.7.8.3,2012-01-06
v1.7.7.6,2012-01-18
v1.7.8.4,2012-01-18
v1.7.9,2012-01-27
v1.7.6.6,2012-02-05
v1.7.9.1,2012-02-14
v1.7.9.2,2012-02-22
v1.7.8.5,2012-02-26
v1.7.9.3,2012-03-05
v1.7.9.4,2012-03-12
v1.7.9.5,2012-03-26
v1.7.9.6,2012-04-02
v1.7.10,2012-04-06
v1.7.7.7,2012-04-26
v1.7.8.6,2012-04-26
v1.7.9.7,2012-04-26
v1.7.10.1,2012-05-01
v1.7.10.2,2012-05-11
v1.7.10.3,2012-05-25
v1.7.10.4,2012-06-03
v1.7.10.5,2012-06-17
v1.7.11,2012-06-17
v1.7.11.1,2012-06-21
v1.7.11.2,2012-07-11
v1.7.11.3,2012-07-22
v1.7.11.4,2012-07-30
v1.7.11.5,2012-08-15
v1.7.12,2012-08-19
v1.7.11.6,2012-09-11
v1.7.11.7,2012-09-14
v1.7.12.1,2012-09-18
v1.7.12.2,2012-09-29
v1.7.12.3,2012-10-08
v1.7.12.4,2012-10-17
gitgui-0.17.0,2012-10-17
v1.8.0,2012-10-21
v1.8.0.1,2012-11-25
v1.8.0.2,2012-12-10
v1.8.0.3,2012-12-27
v1.8.1,2012-12-31
v1.8.1.1,2013-01-14
v1.8.1.2,2013-01-28
v1.8.1.3,2013-02-07
v1.8.1.4,2013-02-19
v1.8.1.5,2013-03-01
v1.8.2,2013-03-13
v1.8.1.6,2013-04-07
v1.8.2.1,2013-04-07
v1.8.2.2,2013-04-26
v1.8.2.3,2013-05-09
v1.8.3,2013-05-24
v1.8.3.1,2013-06-10
gitgui-0.18.0,2013-06-15
v1.8.3.2,2013-06-28
v1.8.3.3,2013-07-15
v1.8.3.4,2013-07-22
v1.8.4,2013-08-23
v1.8.4.1,2013-09-26
v1.8.4.2,2013-10-28
v1.8.4.3,2013-11-08
v1.8.4.4,2013-11-20
v1.8.5,2013-11-27
v1.8.4.5,2013-12-02
v1.8.5.1,2013-12-03
v1.8.5.2,2013-12-17
v1.8.5.3,2014-01-13
gitgui-0.19.0,2014-01-18
v1.8.5.4,2014-02-05
v1.8.5.5,2014-02-13
v1.9.0,2014-02-14
v1.9.1,2014-03-18
v1.9.2,2014-04-09
v1.9.3,2014-05-09
v2.0.0,2014-05-28
v1.9.4,2014-05-30
v2.0.1,2014-06-25
v2.0.2,2014-07-16
v2.0.3,2014-07-23
v2.0.4,2014-07-30
v2.1.0,2014-08-15
v2.1.1,2014-09-19
v2.1.2,2014-09-29
v2.1.3,2014-10-29
v2.2.0,2014-11-26
v1.8.5.6,2014-12-17
v1.9.5,2014-12-17
v2.0.5,2014-12-17
v2.1.4,2014-12-17
v2.2.1,2014-12-17
v2.2.2,2015-01-12
v2.3.0,2015-02-05
v2.3.1,2015-02-24
v2.3.2,2015-03-06
v2.3.3,2015-03-13
v2.3.4,2015-03-23
v2.3.5,2015-03-31
gitgui-0.20.0,2015-04-18
v2.3.6,2015-04-21
v2.3.7,2015-04-27
v2.4.0,2015-04-30
