"c_representative","c_section","c_size"
"8250/16?50 (AND CLONE UARTS) SERIAL DRIVER","8250/16?50 (AND CLONE UARTS) SERIAL DRIVER",125
"9P FILE SYSTEM","9P FILE SYSTEM",7377
"ACPI","ACPI",125074
"ACPI","ACPI FAN DRIVER",215
"ACPI","ACPI THERMAL DRIVER",1547
"ACPI","ACPI VIDEO DRIVER",1863
"ACPI","DOCKING STATION DRIVER",1068
"AD5398 CURRENT REGULATOR DRIVER (AD5398/AD5821)","AD5398 CURRENT REGULATOR DRIVER (AD5398/AD5821)",291
"ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)","ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)",0
"AGPGART DRIVER","AGPGART DRIVER",15003
"AMD IOMMU (AMD-VI)","AMD IOMMU (AMD-VI)",8479
"ARM MFM AND FLOPPY DRIVERS","ARM MFM AND FLOPPY DRIVERS",180
"ARM PORT","ARM PORT",718389
"ARM PORT","ARM SUB-ARCHITECTURES",546429
"ARM PORT","ARM/Allwinner A1X SoC support",127
"ARM PORT","ARM/ATMEL AT91RM9200 AND AT91SAM ARM ARCHITECTURES",30532
"ARM PORT","ARM/CALXEDA HIGHBANK ARCHITECTURE",590
"ARM PORT","ARM/CAVIUM NETWORKS CNS3XXX MACHINE SUPPORT",1995
"ARM PORT","ARM/CIRRUS LOGIC CLPS711X ARM ARCHITECTURE",2031
"ARM PORT","ARM/CIRRUS LOGIC EP93XX ARM ARCHITECTURE",4532
"ARM PORT","ARM/CONTEC MICRO9 MACHINE SUPPORT",133
"ARM PORT","ARM/CORTINA SYSTEMS GEMINI ARM ARCHITECTURE",1779
"ARM PORT","ARM/CSR SIRFPRIMA2 MACHINE SUPPORT",4844
"ARM PORT","ARM/EBSA110 MACHINE SUPPORT",2086
"ARM PORT","ARM/EZX SMARTPHONES (A780, A910, A1200, E680, ROKR E2 and ROKR E6)",1243
"ARM PORT","ARM/FARADAY FA526 PORT",625
"ARM PORT","ARM/FOOTBRIDGE ARCHITECTURE",3250
"ARM PORT","ARM/FREESCALE IMX / MXC ARM ARCHITECTURE",38430
"ARM PORT","ARM/FREESCALE IMX6",786
"ARM PORT","ARM/FREESCALE MXS ARM ARCHITECTURE",1978
"ARM PORT","ARM/H4700 (HP IPAQ HX4700) MACHINE SUPPORT",1271
"ARM PORT","ARM/HP JORNADA 7XX MACHINE SUPPORT",388
"ARM PORT","ARM/IGEP MACHINE SUPPORT",673
"ARM PORT","ARM/INCOME PXA270 SUPPORT",223
"ARM PORT","ARM/INTEL IXP4XX ARM ARCHITECTURE",8698
"ARM PORT","ARM/INTEL RESEARCH IMOTE/STARGATE 2 MACHINE SUPPORT",1167
"ARM PORT","ARM/Marvell Armada 370 and Armada XP SOC support",1176
