"c_representative","c_section","c_size"
"8250/16?50 (AND CLONE UARTS) SERIAL DRIVER","8250/16?50 (AND CLONE UARTS) SERIAL DRIVER",183
"ABI/API","ABI/API",1896
"ACPI","ACPI",184518
"ACPI","ACPI APEI",5006
"ACPI","ACPI COMPONENT ARCHITECTURE (ACPICA)",111491
"ACPI","ACPI FAN DRIVER",414
"ACPI","ACPI FOR ARM64 (ACPI/arm64)",2062
"ACPI","ACPI PMIC DRIVERS",2336
"ACPI","ACPI THERMAL DRIVER",1534
"ACPI","ACPI VIDEO DRIVER",2300
"ACPI","ISAPNP",1411
"ACPI","LIBNVDIMM BLK: MMIO-APERTURE DRIVER",1566
"ACPI","LIBNVDIMM BTT: BLOCK TRANSLATION TABLE",2358
"ACPI","LIBNVDIMM PMEM: PERSISTENT MEMORY DRIVER",680
"ACPI","LIBNVDIMM: DEVICETREE BINDINGS",171
"ACPI","LIBNVDIMM: NON-VOLATILE MEMORY DEVICE SUBSYSTEM",20691
"ACPI","PNP SUPPORT",8662
"ACPI","PSTORE FILESYSTEM",5554
"ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)","ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)",0
"ANDROID CONFIG FRAGMENTS","ANDROID CONFIG FRAGMENTS",290
"ARM PORT","ARM MFM AND FLOPPY DRIVERS",174
"ARM PORT","ARM PORT",467711
"ARM PORT","ARM SUB-ARCHITECTURES",299843
"ARM PORT","ARM/CALXEDA HIGHBANK ARCHITECTURE",881
"ARM PORT","ARM/CAVIUM NETWORKS CNS3XXX MACHINE SUPPORT",1870
"ARM PORT","ARM/CIRRUS LOGIC BK3 MACHINE SUPPORT",423
"ARM PORT","ARM/CIRRUS LOGIC EP93XX ARM ARCHITECTURE",4704
"ARM PORT","ARM/CONTEC MICRO9 MACHINE SUPPORT",125
"ARM PORT","ARM/EBSA110 MACHINE SUPPORT",2017
"ARM PORT","ARM/EZX SMARTPHONES (A780, A910, A1200, E680, ROKR E2 and ROKR E6)",1256
"ARM PORT","ARM/FARADAY FA526 PORT",609
"ARM PORT","ARM/FOOTBRIDGE ARCHITECTURE",3180
"ARM PORT","ARM/H4700 (HP IPAQ HX4700) MACHINE SUPPORT",1258
"ARM PORT","ARM/HP JORNADA 7XX MACHINE SUPPORT",408
"ARM PORT","ARM/INCOME PXA270 SUPPORT",238
"ARM PORT","ARM/INTEL IXP4XX ARM ARCHITECTURE",7958
"ARM PORT","ARM/INTEL RESEARCH IMOTE/STARGATE 2 MACHINE SUPPORT",1163
"ARM PORT","ARM/Marvell Dove/MV78xx0/Orion SOC support",17698
"ARM PORT","ARM/MIOA701 MACHINE SUPPORT",783
"ARM PORT","ARM/OPENMOKO NEO FREERUNNER (GTA02) MACHINE SUPPORT",566
"ARM PORT","ARM/Orion SoC/Technologic Systems TS-78xx platform support",620
"ARM PORT","ARM/PALM TREO SUPPORT",612
