"c_representative","c_section","c_size"
"8250/16?50 (AND CLONE UARTS) SERIAL DRIVER","8250/16?50 (AND CLONE UARTS) SERIAL DRIVER",227
"A64FX DIAG DRIVER","A64FX DIAG DRIVER",151
"ABI/API","ABI/API",1727
"ACPI","ACPI",210472
"ACPI","ACPI APEI",6201
"ACPI","ACPI COMPONENT ARCHITECTURE (ACPICA)",117029
"ACPI","ACPI FOR ARM64 (ACPI/arm64)",3296
"ACPI","ACPI FOR RISC-V (ACPI/riscv)",1390
"ACPI","ACPI PMIC DRIVERS",2493
"ACPI","ACPI THERMAL DRIVER",1617
"ACPI","ACPI VIOT DRIVER",394
"ACPI","ISAPNP",1358
"ACPI","LIBNVDIMM BTT: BLOCK TRANSLATION TABLE",2324
"ACPI","LIBNVDIMM PMEM: PERSISTENT MEMORY DRIVER",811
"ACPI","LIBNVDIMM: DEVICETREE BINDINGS",162
"ACPI","LIBNVDIMM: NON-VOLATILE MEMORY DEVICE SUBSYSTEM",26256
"ACPI","PNP SUPPORT",9058
"ACPI","PSTORE FILESYSTEM",8015
"ACPI","VIRTIO PMEM DRIVER",323
"ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)","ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)",0
"ARM PORT","ARM MFM AND FLOPPY DRIVERS",110
"ARM PORT","ARM PORT",291327
"ARM PORT","ARM SUB-ARCHITECTURES",151256
"ARM PORT","ARM/CALXEDA HIGHBANK ARCHITECTURE",884
"ARM PORT","ARM/FARADAY FA526 PORT",613
"ARM PORT","ARM/FOOTBRIDGE ARCHITECTURE",2866
"ARM PORT","ARM/HP JORNADA 7XX MACHINE SUPPORT",408
"ARM PORT","ARM/Marvell Dove/MV78xx0/Orion SOC support",17248
"ARM PORT","ARM/Orion SoC/Technologic Systems TS-78xx platform support",616
"ARM PORT","ARM/VFP SUPPORT",4135
"ARM PORT","BPF JIT for ARM",2577
"ARM PORT","CPUIDLE DRIVER - ARM EXYNOS",498
"ARM PORT","LEGO MINDSTORMS EV3",754
"ARM PORT","MMP SUPPORT",2408
"ARM PORT","OMAP CLOCK FRAMEWORK SUPPORT",6842
"ARM PORT","OMAP HWMOD DATA",6111
"ARM PORT","OMAP HWMOD SUPPORT",10733
"ARM PORT","OMAP I2C DRIVER",1742
"ARM PORT","OMAP POWER MANAGEMENT SUPPORT",3313
"ARM PORT","OMAP POWERDOMAIN SOC ADAPTATION LAYER SUPPORT",4843
"ARM PORT","OMAP1 SUPPORT",14976
"ARM PORT","OMAP2+ SUPPORT",75254
"ARM PORT","PCMCIA SUBSYSTEM",22434
"ARM PORT","PXA2xx/PXA3xx SUPPORT",27930
"ARM PORT","TI DAVINCI MACHINE SUPPORT",5723
"ARM PORT","XEN HYPERVISOR ARM",1160
"ARM/CIRRUS LOGIC BK3 MACHINE SUPPORT","ARM/CIRRUS LOGIC BK3 MACHINE SUPPORT",0
"ARM/CLKDEV SUPPORT","ARM/CLKDEV SUPPORT",418
"ARM/GUMSTIX MACHINE SUPPORT","ARM/GUMSTIX MACHINE SUPPORT",0
"ARM/INTEL XSC3 (MANZANO) ARM CORE","ARM/INTEL XSC3 (MANZANO) ARM CORE",0
"ATHEROS ATH5K WIRELESS DRIVER","ATHEROS ATH5K WIRELESS DRIVER",27020
"AUXILIARY DISPLAY DRIVERS","AUXILIARY DISPLAY DRIVERS",8105
"AUXILIARY DISPLAY DRIVERS","CFAG12864B LCD DRIVER",419
"AUXILIARY DISPLAY DRIVERS","CFAG12864BFB LCD FRAMEBUFFER DRIVER",220
"AUXILIARY DISPLAY DRIVERS","HT16K33 LED CONTROLLER DRIVER",888
"AUXILIARY DISPLAY DRIVERS","IMGTEC ASCII LCD DRIVER",354
"AUXILIARY DISPLAY DRIVERS","KS0108 LCD CONTROLLER DRIVER",256
"AUXILIARY DISPLAY DRIVERS","PARALLEL LCD/KEYPAD PANEL DRIVER",1733
"B43 WIRELESS DRIVER","B43 WIRELESS DRIVER",56703
"B43LEGACY WIRELESS DRIVER","B43LEGACY WIRELESS DRIVER",14616
"BCACHE (BLOCK LAYER CACHE)","BCACHE (BLOCK LAYER CACHE)",18405
"BCACHEFS","BCACHEFS",0
"BLOCK LAYER","ATA OVER ETHERNET (AOE) DRIVER",3971
"BLOCK LAYER","BFQ I/O SCHEDULER",12640
"BLOCK LAYER","BLOCK LAYER",174624
"BLOCK LAYER","BSG (block layer generic sg v4 driver)",363
"BLOCK LAYER","CONTROL GROUP - BLOCK IO CONTROLLER (BLKIO)",10532
"BLOCK LAYER","DRBD DRIVER",33989
"BLOCK LAYER","FLOPPY DRIVER",5031
"BLOCK LAYER","GUID PARTITION TABLE (GPT)",872
"BLOCK LAYER","LOGICAL DISK MANAGER SUPPORT (LDM, Windows 2000/XP/Vista Dynamic Disks)",1801
"BLOCK LAYER","NETWORK BLOCK DEVICE (NBD)",3009
"BLOCK LAYER","RADOS BLOCK DEVICE (RBD)",7720
"BLOCK LAYER","RAMDISK RAM BLOCK DEVICE DRIVER",597
"BLOCK LAYER","RNBD BLOCK DRIVERS",4539
"BLOCK LAYER","SECURE ENCRYPTING DEVICE (SED) OPAL DRIVER",4162
"BLOCK LAYER","UBLK USERSPACE BLOCK DRIVER",9535
"BLOCK LAYER","VIRTIO BLOCK AND SCSI DRIVERS",3318
"BLOCK LAYER","XEN BLOCK SUBSYSTEM",5794
"BLOCK LAYER","XEN HYPERVISOR INTERFACE",54669
"BLOCK LAYER","XEN PCI SUBSYSTEM",1680
"BLOCK LAYER","XEN PVSCSI DRIVERS",3466
"BLOCK LAYER","XEN SWIOTLB SUBSYSTEM",497
"BLOCK LAYER","ZONED LOOP DEVICE",1555
"BLOCK LAYER","ZRAM COMPRESSED RAM BLOCK DEVICE DRVIER",5019
"BPF [MISC]","BPF [MISC]",0
"BROADCOM BRCM80211 IEEE802.11 WIRELESS DRIVERS","BROADCOM BRCM80211 IEEE802.11 WIRELESS DRIVERS",116430
"BROADCOM SPECIFIC AMBA DRIVER (BCMA)","BROADCOM SPECIFIC AMBA DRIVER (BCMA)",8201
"CARL9170 LINUX COMMUNITY WIRELESS DRIVER","CARL9170 LINUX COMMUNITY WIRELESS DRIVER",13755
"CEPH COMMON CODE (LIBCEPH)","CEPH COMMON CODE (LIBCEPH)",31115
"CHAR and MISC DRIVERS","ACER ASPIRE ONE TEMPERATURE AND FAN DRIVER",771
"CHAR and MISC DRIVERS","ACER WMI LAPTOP EXTRAS",3048
"CHAR and MISC DRIVERS","ACPI QUICKSTART DRIVER",237
"CHAR and MISC DRIVERS","ACPI SERIAL MULTI INSTANTIATE DRIVER",430
"CHAR and MISC DRIVERS","ACPI WMI DRIVER",3109
"CHAR and MISC DRIVERS","AD525X ANALOG DEVICES DIGITAL POTENTIOMETERS DRIVER",762
"CHAR and MISC DRIVERS","ADVANTECH SWBTN DRIVER",119
"CHAR and MISC DRIVERS","ALIENWARE WMI DRIVER",2892
"CHAR and MISC DRIVERS","AMD 3D V-CACHE PERFORMANCE OPTIMIZER DRIVER",188
"CHAR and MISC DRIVERS","AMD HETERO CORE HARDWARE FEEDBACK DRIVER",715
"CHAR and MISC DRIVERS","AMD HSMP DRIVER",2406
"CHAR and MISC DRIVERS","AMD PMC DRIVER",2045
"CHAR and MISC DRIVERS","AMD PMF DRIVER",4382
"CHAR and MISC DRIVERS","ASUS NOTEBOOKS AND EEEPC ACPI/WMI EXTRAS DRIVERS",10701
"CHAR and MISC DRIVERS","ASUS TF103C DOCK DRIVER",943
"CHAR and MISC DRIVERS","ASUS WIRELESS RADIO CONTROL DRIVER",198
"CHAR and MISC DRIVERS","AT24 EEPROM DRIVER",1109
"CHAR and MISC DRIVERS","BARCO P50 GPIO DRIVER",460
"CHAR and MISC DRIVERS","BROADCOM VK DRIVER",4514
"CHAR and MISC DRIVERS","CHAR and MISC DRIVERS",151709
"CHAR and MISC DRIVERS","CMPC ACPI DRIVER",1142
"CHAR and MISC DRIVERS","COMPAL LAPTOP SUPPORT",1113
"CHAR and MISC DRIVERS","DASHARO ACPI PLATFORM DRIVER",360
"CHAR and MISC DRIVERS","DELL LAPTOP DRIVER",2600
"CHAR and MISC DRIVERS","DELL LAPTOP FREEFALL DRIVER",178
"CHAR and MISC DRIVERS","DELL LAPTOP RBTN DRIVER",513
"CHAR and MISC DRIVERS","DELL PC DRIVER",302
"CHAR and MISC DRIVERS","DELL REMOTE BIOS UPDATE DRIVER",679
"CHAR and MISC DRIVERS","DELL SMBIOS DRIVER",1279
"CHAR and MISC DRIVERS","DELL SMBIOS SMM DRIVER",153
"CHAR and MISC DRIVERS","DELL SMBIOS WMI DRIVER",550
"CHAR and MISC DRIVERS","DELL SYSTEMS MANAGEMENT BASE DRIVER (dcdbas)",990
"CHAR and MISC DRIVERS","DELL WMI DDV DRIVER",1485
"CHAR and MISC DRIVERS","DELL WMI DESCRIPTOR DRIVER",205
"CHAR and MISC DRIVERS","DELL WMI HARDWARE PRIVACY SUPPORT",401
"CHAR and MISC DRIVERS","DELL WMI NOTIFICATIONS DRIVER",864
"CHAR and MISC DRIVERS","DELL WMI SYSMAN DRIVER",2459
"CHAR and MISC DRIVERS","DESIGNWARE XDATA IP DRIVER",485
"CHAR and MISC DRIVERS","DOUBLETALK DRIVER",749
"CHAR and MISC DRIVERS","ENE CB710 FLASH CARD READER DRIVER",1705
"CHAR and MISC DRIVERS","FUJITSU LAPTOP EXTRAS",1176
"CHAR and MISC DRIVERS","FUJITSU TABLET EXTRAS",541
"CHAR and MISC DRIVERS","GENWQE (IBM Generic Workqueue Card)",6778
"CHAR and MISC DRIVERS","GIGABYTE WMI DRIVER",164
"CHAR and MISC DRIVERS","GPD POCKET FAN DRIVER",224
"CHAR and MISC DRIVERS","HARD DRIVE ACTIVE PROTECTION SYSTEM (HDAPS) DRIVER",627
"CHAR and MISC DRIVERS","HEWLETT PACKARD ENTERPRISE ILO CHIF DRIVER",1141
"CHAR and MISC DRIVERS","HIKEY960 ONBOARD USB GPIO HUB DRIVER",275
"CHAR and MISC DRIVERS","HP BIOSCFG DRIVER",4605
"CHAR and MISC DRIVERS","HP COMPAQ TC1100 TABLET WMI EXTRAS DRIVER",263
"CHAR and MISC DRIVERS","HPET:	High Precision Event Timers driver",1205
"CHAR and MISC DRIVERS","IBM Power Virtual Management Channel Driver",2628
"CHAR and MISC DRIVERS","IDEAPAD LAPTOP EXTRAS DRIVER",2474
"CHAR and MISC DRIVERS","INTEL ATOMISP2 DUMMY / POWER-MANAGEMENT DRIVER",143
"CHAR and MISC DRIVERS","INTEL ATOMISP2 LED DRIVER",117
"CHAR and MISC DRIVERS","INTEL BIOS SAR INT1092 DRIVER",422
"CHAR and MISC DRIVERS","INTEL HID EVENT DRIVER",809
"CHAR and MISC DRIVERS","INTEL IN FIELD SCAN (IFS) DEVICE",2414
"CHAR and MISC DRIVERS","INTEL ISHTP ECLITE DRIVER",703
"CHAR and MISC DRIVERS","INTEL MANAGEMENT ENGINE (mei)",22270
"CHAR and MISC DRIVERS","INTEL P-Unit IPC DRIVER",397
"CHAR and MISC DRIVERS","INTEL PMC CORE DRIVER",7645
"CHAR and MISC DRIVERS","INTEL PMT DRIVERS",2984
"CHAR and MISC DRIVERS","INTEL SCU DRIVERS",1118
"CHAR and MISC DRIVERS","INTEL SDSI DRIVER",1851
"CHAR and MISC DRIVERS","INTEL SKYLAKE INT3472 ACPI DEVICE DRIVER",1776
"CHAR and MISC DRIVERS","INTEL SPEED SELECT TECHNOLOGY",11524
"CHAR and MISC DRIVERS","INTEL TELEMETRY DRIVER",2320
"CHAR and MISC DRIVERS","INTEL TPMI DRIVER",938
"CHAR and MISC DRIVERS","INTEL UNCORE FREQUENCY CONTROL",1783
"CHAR and MISC DRIVERS","INTEL VENDOR SPECIFIC EXTENDED CAPABILITIES DRIVER",1092
"CHAR and MISC DRIVERS","INTEL VIRTUAL BUTTON DRIVER",421
"CHAR and MISC DRIVERS","INTEL WMI SLIM BOOTLOADER (SBL) FIRMWARE UPDATE DRIVER",140
"CHAR and MISC DRIVERS","INTEL WMI THUNDERBOLT FORCE POWER DRIVER",74
"CHAR and MISC DRIVERS","LENOVO drivers",20389
"CHAR and MISC DRIVERS","LENOVO WMI HOTKEY UTILITIES DRIVER",224
"CHAR and MISC DRIVERS","LG LAPTOP EXTRAS",1030
"CHAR and MISC DRIVERS","LINUX KERNEL DUMP TEST MODULE (LKDTM)",3932
"CHAR and MISC DRIVERS","LIS3LV02D ACCELEROMETER DRIVER",2536
"CHAR and MISC DRIVERS","MARVELL OCTEON CN10K DPI DRIVER",676
"CHAR and MISC DRIVERS","MICROBLAZE TMR INJECT",219
"CHAR and MISC DRIVERS","MICROBLAZE TMR MANAGER",283
"CHAR and MISC DRIVERS","MICROCHIP LAN966X PCI DRIVER",392
"CHAR and MISC DRIVERS","MICROCHIP PCI1XXXX GP DRIVER",1172
