"c_representative","c_section","c_size"
"8250/16?50 (AND CLONE UARTS) SERIAL DRIVER","8250/16?50 (AND CLONE UARTS) SERIAL DRIVER",177
"ABI/API","ABI/API",1169
"ACPI","ACPI",181407
"ACPI","ACPI COMPONENT ARCHITECTURE (ACPICA)",116488
"ACPI","ACPI FAN DRIVER",427
"ACPI","ACPI FOR ARM64 (ACPI/arm64)",1585
"ACPI","ACPI THERMAL DRIVER",1558
"ACPI","ACPI VIDEO DRIVER",2230
"ACPI","PSTORE FILESYSTEM",5545
"ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)","ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)",0
"ANDROID CONFIG FRAGMENTS","ANDROID CONFIG FRAGMENTS",289
"ANDROID DRIVERS","ANDROID DRIVERS",8345
"ANDROID DRIVERS","ANDROID ION DRIVER",2665
"ARM PORT","AMD SEATTLE DEVICE TREE SUPPORT",754
"ARM PORT","APPLIED MICRO (APM) X-GENE DEVICE TREE SUPPORT",2108
"ARM PORT","ARM MFM AND FLOPPY DRIVERS",180
"ARM PORT","ARM PORT",928082
"ARM PORT","ARM PRIMECELL BUS SUPPORT",1269
"ARM PORT","ARM SUB-ARCHITECTURES",330917
"ARM PORT","ARM/Allwinner SoC Clock Support",5109
"ARM PORT","ARM/Allwinner sunXi SoC support",99630
"ARM PORT","ARM/Annapurna Labs ALPINE ARCHITECTURE",1019
"ARM PORT","ARM/ASPEED MACHINE SUPPORT",5165
"ARM PORT","ARM/ATMEL AT91 Clock Support",4507
"ARM PORT","ARM/ATMEL AT91RM9200, AT91SAM9 AND SAMA5 SOC SUPPORT",25865
"ARM PORT","ARM/CALXEDA HIGHBANK ARCHITECTURE",931
"ARM PORT","ARM/CAVIUM NETWORKS CNS3XXX MACHINE SUPPORT",1895
"ARM PORT","ARM/CIRRUS LOGIC EP93XX ARM ARCHITECTURE",4599
"ARM PORT","ARM/CONTEC MICRO9 MACHINE SUPPORT",128
"ARM PORT","ARM/EBSA110 MACHINE SUPPORT",2041
"ARM PORT","ARM/EZX SMARTPHONES (A780, A910, A1200, E680, ROKR E2 and ROKR E6)",1250
"ARM PORT","ARM/FARADAY FA526 PORT",624
"ARM PORT","ARM/FOOTBRIDGE ARCHITECTURE",3200
"ARM PORT","ARM/FREESCALE IMX / MXC ARM ARCHITECTURE",121474
"ARM PORT","ARM/FREESCALE VYBRID ARM ARCHITECTURE",4698
"ARM PORT","ARM/H4700 (HP IPAQ HX4700) MACHINE SUPPORT",1264
"ARM PORT","ARM/HISILICON SOC SUPPORT",12019
"ARM PORT","ARM/HP JORNADA 7XX MACHINE SUPPORT",404
"ARM PORT","ARM/IGEP MACHINE SUPPORT",860
"ARM PORT","ARM/INCOME PXA270 SUPPORT",230
"ARM PORT","ARM/INTEL IXP4XX ARM ARCHITECTURE",8536
"ARM PORT","ARM/INTEL RESEARCH IMOTE/STARGATE 2 MACHINE SUPPORT",1169
"ARM PORT","ARM/LG1K ARCHITECTURE",780
"ARM PORT","ARM/LPC18XX ARCHITECTURE",9541
"ARM PORT","ARM/Marvell Berlin SoC support",2761
"ARM PORT","ARM/Marvell Dove/MV78xx0/Orion SOC support",17631
"ARM PORT","ARM/Marvell Kirkwood and Armada 370, 375, 38x, 39x, XP, 3700, 7K/8K SOC support",42988
"ARM PORT","ARM/Mediatek USB3 PHY DRIVER",772
"ARM PORT","ARM/MICREL KS8695 ARCHITECTURE",2743
"ARM PORT","ARM/MIOA701 MACHINE SUPPORT",784
"ARM PORT","ARM/NUVOTON W90X900 ARM ARCHITECTURE",7143
"ARM PORT","ARM/Orion SoC/Technologic Systems TS-78xx platform support",624
"ARM PORT","ARM/OXNAS platform support",3758
"ARM PORT","ARM/PALM TREO SUPPORT",560
"ARM PORT","ARM/PALMTX,PALMT5,PALMLD,PALMTE2,PALMTC SUPPORT",2159
"ARM PORT","ARM/PALMZ72 SUPPORT",414
"ARM PORT","ARM/QUALCOMM SUPPORT",80259
"ARM PORT","ARM/REALTEK ARCHITECTURE",198
"ARM PORT","ARM/RENESAS ARM64 ARCHITECTURE",6288
"ARM PORT","ARM/Rockchip SoC support",75083
"ARM PORT","ARM/SAMSUNG EXYNOS ARM ARCHITECTURES",178791
"ARM PORT","ARM/SAMSUNG MOBILE MACHINE SUPPORT",556
"ARM PORT","ARM/SHMOBILE ARM ARCHITECTURE",24615
"ARM PORT","ARM/SOCFPGA ARCHITECTURE",5103
"ARM PORT","ARM/SOCFPGA CLOCK FRAMEWORK SUPPORT",1068
"ARM PORT","ARM/STI ARCHITECTURE",18659
"ARM PORT","ARM/TEXAS INSTRUMENT KEYSTONE ARCHITECTURE",3493
"ARM PORT","ARM/Ux500 CLOCK FRAMEWORK SUPPORT",2169
"ARM PORT","ARM/VERSATILE EXPRESS PLATFORM",10216
"ARM PORT","ARM/VFP SUPPORT",4143
"ARM PORT","ARM/VOIPAC PXA270 SUPPORT",771
"ARM PORT","ARM/ZIPIT Z2 SUPPORT",777
"ARM PORT","ARM/ZTE ARCHITECTURE",3566
"ARM PORT","ARM64 PORT (AARCH64 ARCHITECTURE)",152363
"ARM PORT","AXENTIA ARM DEVICES",386
"ARM PORT","BROADCOM BCM281XX/BCM11XXX/BCM216XX ARM ARCHITECTURE",11787
"ARM PORT","BROADCOM BCM5301X ARM ARCHITECTURE",3365
"ARM PORT","BROADCOM BCM53573 ARM ARCHITECTURE",296
"ARM PORT","BROADCOM IPROC ARM ARCHITECTURE",22383
"ARM PORT","C6X ARCHITECTURE",11604
"ARM PORT","CAVIUM THUNDERX2 ARM64 SOC",190
"ARM PORT","COMMON CLK FRAMEWORK",257530
"ARM PORT","CPUIDLE DRIVER - ARM EXYNOS",494
"ARM PORT","DRIVERS FOR ADAPTIVE VOLTAGE SCALING (AVS)",1943
"ARM PORT","DRM DRIVERS FOR ALLWINNER A10",6085
"ARM PORT","DRM DRIVERS FOR EXYNOS",24195
"ARM PORT","DRM DRIVERS FOR NVIDIA TEGRA",26014
"ARM PORT","DRM DRIVERS FOR ROCKCHIP",11398
"ARM PORT","EXYNOS DP DRIVER",297
"ARM PORT","GENERIC PHY FRAMEWORK",34217
"ARM PORT","IDT VersaClock 5 CLOCK DRIVER",831
"ARM PORT","INTEL IXP4XX QMGR, NPE, ETHERNET and HSS SUPPORT",4291
"ARM PORT","IRQCHIP DRIVERS",32844
"ARM PORT","MMP SUPPORT",6975
