"c_representative","c_section","c_size"
"8250/16?50 (AND CLONE UARTS) SERIAL DRIVER","8250/16?50 (AND CLONE UARTS) SERIAL DRIVER",184
"ABI/API","ABI/API",1899
"ACPI","ACPI",185046
"ACPI","ACPI APEI",5006
"ACPI","ACPI COMPONENT ARCHITECTURE (ACPICA)",111685
"ACPI","ACPI FAN DRIVER",495
"ACPI","ACPI FOR ARM64 (ACPI/arm64)",2133
"ACPI","ACPI PMIC DRIVERS",2336
"ACPI","ACPI THERMAL DRIVER",1536
"ACPI","ACPI VIDEO DRIVER",2300
"ACPI","COMPACTPCI HOTPLUG CORE",1059
"ACPI","COMPACTPCI HOTPLUG GENERIC DRIVER",207
"ACPI","COMPACTPCI HOTPLUG ZIATECH ZT5550 DRIVER",369
"ACPI","Hyper-V CORE AND DRIVERS",37864
"ACPI","IBM Power IO DLPAR Driver for RPA-compliant PPC64 platform",625
"ACPI","IBM Power PCI Hotplug Driver for RPA-compliant PPC64 platform",869
"ACPI","ISAPNP",1387
"ACPI","LIBNVDIMM BLK: MMIO-APERTURE DRIVER",1566
"ACPI","LIBNVDIMM BTT: BLOCK TRANSLATION TABLE",2358
"ACPI","LIBNVDIMM PMEM: PERSISTENT MEMORY DRIVER",674
"ACPI","LIBNVDIMM: DEVICETREE BINDINGS",171
"ACPI","LIBNVDIMM: NON-VOLATILE MEMORY DEVICE SUBSYSTEM",20685
"ACPI","NTB AMD DRIVER",1401
"ACPI","NTB DRIVER CORE",20742
"ACPI","NTB IDT DRIVER",4190
"ACPI","NTB INTEL DRIVER",3237
"ACPI","PCI DRIVER FOR AARDVARK (Marvell Armada 3700)",1095
"ACPI","PCI DRIVER FOR ALTERA PCIE IP",917
"ACPI","PCI DRIVER FOR APPLIEDMICRO XGENE",712
"ACPI","PCI DRIVER FOR ARM VERSATILE PLATFORM",290
"ACPI","PCI DRIVER FOR ARMADA 8K",408
"ACPI","PCI DRIVER FOR CADENCE PCIE IP",1729
"ACPI","PCI DRIVER FOR FREESCALE LAYERSCAPE",500
"ACPI","PCI DRIVER FOR GENERIC OF HOSTS",381
"ACPI","PCI DRIVER FOR IMX6",1403
"ACPI","PCI DRIVER FOR INTEL VOLUME MANAGEMENT DEVICE (VMD)",744
"ACPI","PCI DRIVER FOR MICROSEMI SWITCHTEC",4248
"ACPI","PCI DRIVER FOR MOBIVEIL PCIE IP",1030
"ACPI","PCI DRIVER FOR MVEBU (Marvell Armada 370 and Armada XP SOC support)",1156
"ACPI","PCI DRIVER FOR NVIDIA TEGRA",3665
"ACPI","PCI DRIVER FOR RENESAS R-CAR",1677
"ACPI","PCI DRIVER FOR SAMSUNG EXYNOS",538
"ACPI","PCI DRIVER FOR SYNOPSYS DESIGNWARE",2737
"ACPI","PCI DRIVER FOR TI DRA7XX",1049
"ACPI","PCI DRIVER FOR TI KEYSTONE",1434
"ACPI","PCI DRIVER FOR V3 SEMICONDUCTOR V360EPC",1011
"ACPI","PCI ENDPOINT SUBSYSTEM",3684
"ACPI","PCI ERROR RECOVERY",426
"ACPI","PCI MSI DRIVER FOR ALTERA MSI IP",328
"ACPI","PCI MSI DRIVER FOR APPLIEDMICRO XGENE",611
"ACPI","PCI NATIVE HOST BRIDGE AND ENDPOINT DRIVERS",44109
"ACPI","PCI SUBSYSTEM",145918
"ACPI","PCIE DRIVER FOR AMAZON ANNAPURNA LABS",504
"ACPI","PCIE DRIVER FOR AMLOGIC MESON",675
"ACPI","PCIE DRIVER FOR AXIS ARTPEC",661
"ACPI","PCIE DRIVER FOR CAVIUM THUNDERX",854
"ACPI","PCIE DRIVER FOR HISILICON",441
"ACPI","PCIE DRIVER FOR HISILICON KIRIN",593
"ACPI","PCIE DRIVER FOR HISILICON STB",540
"ACPI","PCIE DRIVER FOR MEDIATEK",1509
"ACPI","PCIE DRIVER FOR QUALCOMM MSM",1452
"ACPI","PCIE DRIVER FOR ROCKCHIP",2703
"ACPI","PCIE DRIVER FOR SOCIONEXT UNIPHIER",538
"ACPI","PCIE DRIVER FOR ST SPEAR13XX",313
"ACPI","PNP SUPPORT",8637
"ACPI","PSTORE FILESYSTEM",5554
"ACPI","XEN PCI SUBSYSTEM",1765
"ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)","ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)",0
"ANDROID CONFIG FRAGMENTS","ANDROID CONFIG FRAGMENTS",290
"ARM PORT","ARM MFM AND FLOPPY DRIVERS",174
"ARM PORT","ARM PORT",462970
"ARM PORT","ARM SUB-ARCHITECTURES",295133
"ARM PORT","ARM/CALXEDA HIGHBANK ARCHITECTURE",881
"ARM PORT","ARM/CAVIUM NETWORKS CNS3XXX MACHINE SUPPORT",1870
"ARM PORT","ARM/CIRRUS LOGIC BK3 MACHINE SUPPORT",423
"ARM PORT","ARM/CIRRUS LOGIC EP93XX ARM ARCHITECTURE",4704
"ARM PORT","ARM/CONTEC MICRO9 MACHINE SUPPORT",125
"ARM PORT","ARM/EBSA110 MACHINE SUPPORT",2017
"ARM PORT","ARM/EZX SMARTPHONES (A780, A910, A1200, E680, ROKR E2 and ROKR E6)",1256
"ARM PORT","ARM/FARADAY FA526 PORT",609
"ARM PORT","ARM/FOOTBRIDGE ARCHITECTURE",3180
"ARM PORT","ARM/H4700 (HP IPAQ HX4700) MACHINE SUPPORT",1264
"ARM PORT","ARM/HP JORNADA 7XX MACHINE SUPPORT",408
"ARM PORT","ARM/INCOME PXA270 SUPPORT",238
"ARM PORT","ARM/INTEL IXP4XX ARM ARCHITECTURE",7994
"ARM PORT","ARM/INTEL RESEARCH IMOTE/STARGATE 2 MACHINE SUPPORT",1163
"ARM PORT","ARM/Marvell Dove/MV78xx0/Orion SOC support",17698
"ARM PORT","ARM/MIOA701 MACHINE SUPPORT",786
"ARM PORT","ARM/OPENMOKO NEO FREERUNNER (GTA02) MACHINE SUPPORT",566
"ARM PORT","ARM/Orion SoC/Technologic Systems TS-78xx platform support",620
"ARM PORT","ARM/PALM TREO SUPPORT",612
"ARM PORT","ARM/PALMTX,PALMT5,PALMLD,PALMTE2,PALMTC SUPPORT",2345
"ARM PORT","ARM/PALMZ72 SUPPORT",511
"ARM PORT","ARM/SAMSUNG MOBILE MACHINE SUPPORT",540
"ARM PORT","ARM/VFP SUPPORT",4113
"ARM PORT","ARM/VOIPAC PXA270 SUPPORT",774
"ARM PORT","ARM/ZIPIT Z2 SUPPORT",779
"ARM PORT","CPUIDLE DRIVER - ARM EXYNOS",481
"ARM PORT","LEGO MINDSTORMS EV3",725
"ARM PORT","MMP SUPPORT",7981
"ARM PORT","OMAP CLOCK FRAMEWORK SUPPORT",7324
"ARM PORT","OMAP GENERAL PURPOSE MEMORY CONTROLLER SUPPORT",2570
"ARM PORT","OMAP HWMOD DATA",12617
"ARM PORT","OMAP HWMOD DATA FOR OMAP4-BASED DEVICES",1838
"ARM PORT","OMAP HWMOD SUPPORT",17445
"ARM PORT","OMAP I2C DRIVER",1654
"ARM PORT","OMAP POWER MANAGEMENT SUPPORT",3593
"ARM PORT","OMAP POWERDOMAIN SOC ADAPTATION LAYER SUPPORT",6546
"ARM PORT","OMAP1 SUPPORT",22648
"ARM PORT","OMAP2+ SUPPORT",85768
"ARM PORT","PCMCIA SUBSYSTEM",27139
"ARM PORT","PXA2xx/PXA3xx SUPPORT",70281
"ARM PORT","SIMTEC EB2410ITX (BAST)",810
"ARM PORT","SPEAR PLATFORM SUPPORT",6068
"ARM PORT","TI DAVINCI MACHINE SUPPORT",21169
"ARM PORT","XEN HYPERVISOR ARM",993
"ARM/ADS SPHERE MACHINE SUPPORT","ARM/ADS SPHERE MACHINE SUPPORT",0
"ARM/AFEB9260 MACHINE SUPPORT","ARM/AFEB9260 MACHINE SUPPORT",0
"ARM/AJECO 1ARM MACHINE SUPPORT","ARM/AJECO 1ARM MACHINE SUPPORT",0
"ARM/CIRRUS LOGIC EDB9315A MACHINE SUPPORT","ARM/CIRRUS LOGIC EDB9315A MACHINE SUPPORT",0
"ARM/CLKDEV SUPPORT","ARM/CLKDEV SUPPORT",447
