from,to,lines,size
3C505 NETWORK DRIVER,3C505 NETWORK DRIVER,1963,55082
3C505 NETWORK DRIVER,NETWORKING DRIVERS,1963,55082
3C505 NETWORK DRIVER,THE REST,1963,55082
3C59X NETWORK DRIVER,3C59X NETWORK DRIVER,3776,119928
3C59X NETWORK DRIVER,DOCUMENTATION,448,15100
3C59X NETWORK DRIVER,NETWORKING DRIVERS,3328,104828
3C59X NETWORK DRIVER,THE REST,3776,119928
3CR990 NETWORK DRIVER,3CR990 NETWORK DRIVER,3181,93891
3CR990 NETWORK DRIVER,NETWORKING DRIVERS,3181,93891
3CR990 NETWORK DRIVER,THE REST,3181,93891
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)","3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",8257,281743
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",SCSI SUBSYSTEM,8257,281743
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",THE REST,8257,281743
53C700 AND 53C700-66 SCSI DRIVER,53C700 AND 53C700-66 SCSI DRIVER,4441,127499
53C700 AND 53C700-66 SCSI DRIVER,LASI 53c700 driver for PARISC,4441,127499
53C700 AND 53C700-66 SCSI DRIVER,SCSI SUBSYSTEM,4441,127499
53C700 AND 53C700-66 SCSI DRIVER,THE REST,4441,127499
6PACK NETWORK DRIVER FOR AX.25,6PACK NETWORK DRIVER FOR AX.25,1037,25173
6PACK NETWORK DRIVER FOR AX.25,NETWORKING DRIVERS,1037,25173
6PACK NETWORK DRIVER FOR AX.25,THE REST,1037,25173
8169 10/100/1000 GIGABIT ETHERNET DRIVER,8169 10/100/1000 GIGABIT ETHERNET DRIVER,7042,172876
8169 10/100/1000 GIGABIT ETHERNET DRIVER,NETWORKING DRIVERS,7042,172876
8169 10/100/1000 GIGABIT ETHERNET DRIVER,THE REST,7042,172876
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,125,4283
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,THE REST,125,4283
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]","8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",18177,538642
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",ARM/RISCPC ARCHITECTURE,861,20392
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",NETWORKING DRIVERS,18177,538642
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",THE REST,18177,538642
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",UCLINUX FOR RENESAS H8/300 (H8300),684,19716
9P FILE SYSTEM,9P FILE SYSTEM,7377,182414
9P FILE SYSTEM,DOCUMENTATION,166,5755
9P FILE SYSTEM,THE REST,7377,182414
A8293 MEDIA DRIVER,A8293 MEDIA DRIVER,208,5072
A8293 MEDIA DRIVER,MEDIA INPUT INFRASTRUCTURE (V4L/DVB),208,5072
A8293 MEDIA DRIVER,THE REST,208,5072
AACRAID SCSI RAID DRIVER,AACRAID SCSI RAID DRIVER,12633,367116
AACRAID SCSI RAID DRIVER,DOCUMENTATION,150,6849
AACRAID SCSI RAID DRIVER,SCSI SUBSYSTEM,12483,360267
AACRAID SCSI RAID DRIVER,THE REST,12633,367116
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER","ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",1644,53767
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",HARDWARE MONITORING,1644,53767
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",THE REST,1644,53767
ABIT UGURU 3 HARDWARE MONITOR DRIVER,ABIT UGURU 3 HARDWARE MONITOR DRIVER,1321,41832
ABIT UGURU 3 HARDWARE MONITOR DRIVER,HARDWARE MONITORING,1321,41832
ABIT UGURU 3 HARDWARE MONITOR DRIVER,THE REST,1321,41832
ACENIC DRIVER,ACENIC DRIVER,3991,103143
ACENIC DRIVER,NETWORKING DRIVERS,3991,103143
ACENIC DRIVER,THE REST,3991,103143
ACER ASPIRE ONE TEMPERATURE AND FAN DRIVER,ACER ASPIRE ONE TEMPERATURE AND FAN DRIVER,739,21730
ACER ASPIRE ONE TEMPERATURE AND FAN DRIVER,THE REST,739,21730
ACER ASPIRE ONE TEMPERATURE AND FAN DRIVER,X86 PLATFORM DRIVERS,739,21730
ACER WMI LAPTOP EXTRAS,ACER WMI LAPTOP EXTRAS,2292,53746
ACER WMI LAPTOP EXTRAS,THE REST,2292,53746
ACER WMI LAPTOP EXTRAS,X86 PLATFORM DRIVERS,2292,53746
ACPI,ACPI,125821,3654991
ACPI,ACPI FAN DRIVER,215,5565
ACPI,ACPI THERMAL DRIVER,1547,39333
ACPI,ACPI VIDEO DRIVER,1863,47694
ACPI,DOCKING STATION DRIVER,1068,28057
ACPI,PNP SUPPORT,1342,36755
ACPI,PSTORE FILESYSTEM,1213,29257
ACPI,THE REST,125821,3654991
ACPI FAN DRIVER,ACPI FAN DRIVER,215,5565
ACPI FAN DRIVER,THE REST,215,5565
ACPI THERMAL DRIVER,ACPI THERMAL DRIVER,1547,39333
ACPI THERMAL DRIVER,THE REST,1547,39333
ACPI VIDEO DRIVER,ACPI VIDEO DRIVER,1863,47694
ACPI VIDEO DRIVER,THE REST,1863,47694
ACPI WMI DRIVER,ACPI WMI DRIVER,986,23589
ACPI WMI DRIVER,THE REST,986,23589
ACPI WMI DRIVER,X86 PLATFORM DRIVERS,986,23589
AD1889 ALSA SOUND DRIVER,AD1889 ALSA SOUND DRIVER,1254,34850
AD1889 ALSA SOUND DRIVER,SOUND,1254,34850
AD1889 ALSA SOUND DRIVER,THE REST,1254,34850
AD525X ANALOG DEVICES DIGITAL POTENTIOMETERS DRIVER,AD525X ANALOG DEVICES DIGITAL POTENTIOMETERS DRIVER,771,20680
AD525X ANALOG DEVICES DIGITAL POTENTIOMETERS DRIVER,CHAR and MISC DRIVERS,771,20680
AD525X ANALOG DEVICES DIGITAL POTENTIOMETERS DRIVER,THE REST,771,20680
AD5398 CURRENT REGULATOR DRIVER (AD5398/AD5821),AD5398 CURRENT REGULATOR DRIVER (AD5398/AD5821),291,6603
AD5398 CURRENT REGULATOR DRIVER (AD5398/AD5821),THE REST,291,6603
AD5398 CURRENT REGULATOR DRIVER (AD5398/AD5821),VOLTAGE AND CURRENT REGULATOR FRAMEWORK,291,6603
AD714X CAPACITANCE TOUCH SENSOR DRIVER (AD7142/3/7/8/7A),AD714X CAPACITANCE TOUCH SENSOR DRIVER (AD7142/3/7/8/7A),1261,36463
AD714X CAPACITANCE TOUCH SENSOR DRIVER (AD7142/3/7/8/7A),"INPUT (KEYBOARD, MOUSE, JOYSTICK, TOUCHSCREEN) DRIVERS",1261,36463
AD714X CAPACITANCE TOUCH SENSOR DRIVER (AD7142/3/7/8/7A),THE REST,1261,36463
AD7877 TOUCHSCREEN DRIVER,AD7877 TOUCHSCREEN DRIVER,868,21402
AD7877 TOUCHSCREEN DRIVER,"INPUT (KEYBOARD, MOUSE, JOYSTICK, TOUCHSCREEN) DRIVERS",868,21402
AD7877 TOUCHSCREEN DRIVER,THE REST,868,21402
AD7879 TOUCHSCREEN DRIVER (AD7879/AD7889),AD7879 TOUCHSCREEN DRIVER (AD7879/AD7889),654,15825
AD7879 TOUCHSCREEN DRIVER (AD7879/AD7889),"INPUT (KEYBOARD, MOUSE, JOYSTICK, TOUCHSCREEN) DRIVERS",654,15825
AD7879 TOUCHSCREEN DRIVER (AD7879/AD7889),THE REST,654,15825
ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR),ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR),0,0
ADM1025 HARDWARE MONITOR DRIVER,ADM1025 HARDWARE MONITOR DRIVER,671,21147
