from,to,lines,size
3CR990 NETWORK DRIVER,3CR990 NETWORK DRIVER,3212,94834
3CR990 NETWORK DRIVER,NETWORKING DRIVERS,3212,94834
3CR990 NETWORK DRIVER,THE REST,3212,94834
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)","3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",8133,273221
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",SCSI SUBSYSTEM,8133,273221
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",THE REST,8133,273221
53C700 AND 53C700-66 SCSI DRIVER,53C700 AND 53C700-66 SCSI DRIVER,4387,124858
53C700 AND 53C700-66 SCSI DRIVER,LASI 53c700 driver for PARISC,4387,124858
53C700 AND 53C700-66 SCSI DRIVER,SCSI SUBSYSTEM,4387,124858
53C700 AND 53C700-66 SCSI DRIVER,THE REST,4387,124858
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),6LOWPAN GENERIC (BTLE/IEEE 802.15.4),3213,89941
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),DOCUMENTATION,53,1542
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),NETWORKING [GENERAL],3213,89941
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),THE REST,3213,89941
6PACK NETWORK DRIVER FOR AX.25,6PACK NETWORK DRIVER FOR AX.25,913,21887
6PACK NETWORK DRIVER FOR AX.25,NETWORKING DRIVERS,913,21887
6PACK NETWORK DRIVER FOR AX.25,THE REST,913,21887
802.11 (including CFG80211/NL80211),802.11 (including CFG80211/NL80211),82296,2540983
802.11 (including CFG80211/NL80211),DOCUMENTATION,387,11050
802.11 (including CFG80211/NL80211),THE REST,82296,2540983
8169 10/100/1000 GIGABIT ETHERNET DRIVER,8169 10/100/1000 GIGABIT ETHERNET DRIVER,7604,204115
8169 10/100/1000 GIGABIT ETHERNET DRIVER,NETWORKING DRIVERS,7604,204115
8169 10/100/1000 GIGABIT ETHERNET DRIVER,THE REST,7604,204115
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,227,7590
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,THE REST,227,7590
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]","8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",13323,394189
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",ARM/RISCPC ARCHITECTURE,858,20419
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",NETWORKING DRIVERS,13323,394189
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",THE REST,13323,394189
9P FILE SYSTEM,9P FILE SYSTEM,15548,388494
9P FILE SYSTEM,DOCUMENTATION,277,10311
9P FILE SYSTEM,NETWORKING [GENERAL],936,27724
9P FILE SYSTEM,THE REST,15548,388494
9P FILE SYSTEM,TRACING,225,6334
9P FILE SYSTEM,VIRTIO CORE,44,2052
A64FX DIAG DRIVER,A64FX DIAG DRIVER,151,3641
A64FX DIAG DRIVER,THE REST,151,3641
A8293 MEDIA DRIVER,A8293 MEDIA DRIVER,307,6416
A8293 MEDIA DRIVER,MEDIA INPUT INFRASTRUCTURE (V4L/DVB),307,6416
A8293 MEDIA DRIVER,THE REST,307,6416
AACRAID SCSI RAID DRIVER,AACRAID SCSI RAID DRIVER,16591,457807
AACRAID SCSI RAID DRIVER,DOCUMENTATION,177,7088
AACRAID SCSI RAID DRIVER,SCSI SUBSYSTEM,16414,450719
AACRAID SCSI RAID DRIVER,THE REST,16591,457807
AAEON UPBOARD FPGA MFD DRIVER,AAEON UPBOARD FPGA MFD DRIVER,1575,47401
AAEON UPBOARD FPGA MFD DRIVER,LED SUBSYSTEM,126,3360
AAEON UPBOARD FPGA MFD DRIVER,MULTIFUNCTION DEVICES (MFD),379,11246
AAEON UPBOARD FPGA MFD DRIVER,PIN CONTROL SUBSYSTEM,1070,32795
AAEON UPBOARD FPGA MFD DRIVER,THE REST,1575,47401
AB8500 BATTERY AND CHARGER DRIVERS,AB8500 BATTERY AND CHARGER DRIVERS,10719,296521
AB8500 BATTERY AND CHARGER DRIVERS,OPEN FIRMWARE AND FLATTENED DEVICE TREE BINDINGS,318,7842
AB8500 BATTERY AND CHARGER DRIVERS,POWER SUPPLY CLASS/SUBSYSTEM and DRIVERS,10719,296521
AB8500 BATTERY AND CHARGER DRIVERS,THE REST,10719,296521
ABI/API,ABI/API,1727,68063
ABI/API,THE REST,1727,68063
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER","ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",1630,53032
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",HARDWARE MONITORING,1630,53032
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",THE REST,1630,53032
ABIT UGURU 3 HARDWARE MONITOR DRIVER,ABIT UGURU 3 HARDWARE MONITOR DRIVER,1302,41021
ABIT UGURU 3 HARDWARE MONITOR DRIVER,HARDWARE MONITORING,1302,41021
ABIT UGURU 3 HARDWARE MONITOR DRIVER,THE REST,1302,41021
