"c_representative","c_section","c_size"
"ARM Machines - Gumstix","ARM Machines - Gumstix",141
"ARM Machines - Integrator CP","ARM Machines - Integrator CP",562
"ARM Machines - Mainstone","ARM Machines - Mainstone",190
"ARM Machines - Musicpal","ARM Machines - Musicpal",1610
"ARM Machines - nSeries","ARM Machines - nSeries",1423
"ARM Machines - Palm","ARM Machines - Palm",288
"ARM Machines - Real View","ARM Machines - Real View",554
"ARM Machines - Spitz","ARM Machines - Spitz",1105
"ARM Machines - Stellaris","ARM Machines - Stellaris",1437
"ARM Machines - Versatile PB","ARM Machines - Versatile PB",385
"CRIS Machines - Axis Dev88","CRIS Machines - Axis Dev88",363
"CRIS Machines - etraxfs","CRIS Machines - etraxfs",0
"Devices - IDE","Devices - IDE",8500
"Devices - OMAP","Devices - OMAP",18160
"Devices - PCI","Devices - PCI",7517
"Devices - SCSI","Devices - SCSI",6324
"Devices - USB","Devices - USB",15192
"Devices - vhost","Devices - vhost",1143
"Devices - virtio","Devices - virtio",5764
"Devices - virtio","Devices - virtio-blk",741
"Devices - virtio","Devices - virtio-serial",1302
"Devices - virtio-9p","Devices - virtio-9p",0
"Guest CPU cores (TCG): - Alpha","Guest CPU cores (TCG): - Alpha",6156
"Guest CPU cores (TCG): - ARM","Guest CPU cores (TCG): - ARM",17752
"Guest CPU cores (TCG): - CRIS","Guest CPU cores (TCG): - CRIS",7221
"Guest CPU cores (TCG): - LM32","Guest CPU cores (TCG): - LM32",1953
"Guest CPU cores (TCG): - M68K","Guest CPU cores (TCG): - M68K",4636
"Guest CPU cores (TCG): - MicroBlaze","Guest CPU cores (TCG): - MicroBlaze",3619
"Guest CPU cores (TCG): - MIPS","Guest CPU cores (TCG): - MIPS",19026
"Guest CPU cores (TCG): - PowerPC","Guest CPU Cores (KVM): - Overall",5851
"Guest CPU cores (TCG): - PowerPC","Guest CPU Cores (KVM): - PPC",949
"Guest CPU cores (TCG): - PowerPC","Guest CPU Cores (KVM): - S390",482
"Guest CPU cores (TCG): - PowerPC","Guest CPU Cores (KVM): - X86",1881
"Guest CPU cores (TCG): - PowerPC","Guest CPU cores (TCG): - PowerPC",31993
"Guest CPU cores (TCG): - PowerPC","Guest CPU cores (TCG): - S390",10578
"Guest CPU cores (TCG): - PowerPC","Guest CPU cores (TCG): - X86",23092
"Guest CPU cores (TCG): - SH4","Guest CPU cores (TCG): - SH4",4243
"Guest CPU cores (TCG): - SPARC","Guest CPU cores (TCG): - SPARC",13246
"Guest CPU cores (TCG): - Xtensa","Guest CPU cores (TCG): - Xtensa",5905
"Guest CPU Cores (Xen): - X86","Guest CPU Cores (Xen): - X86",6261
"LM32 Machines - EVR32 and uclinux BSP","LM32 Machines - EVR32 and uclinux BSP",303
"LM32 Machines - milkymist","LM32 Machines - milkymist",215
"M68K Machines - an5206","M68K Machines - an5206",94
"M68K Machines - dummy_m68k","M68K Machines - dummy_m68k",82
"M68K Machines - mcf5208","M68K Machines - mcf5208",298
"MicroBlaze Machines - petalogix_s3adsp1800","MicroBlaze Machines - petalogix_s3adsp1800",0
"MIPS Machines - Jazz","MIPS Machines - Jazz",333
"MIPS Machines - Malta","MIPS Machines - Malta",1037
"MIPS Machines - Mipssim","MIPS Machines - Mipssim",231
"MIPS Machines - R4000","MIPS Machines - R4000",302
"PowerPC Machines - 405","PowerPC Machines - 405",657
"PowerPC Machines - New World","PowerPC Machines - New World",425
"PowerPC Machines - Old World","PowerPC Machines - Old World",340
"PowerPC Machines - PReP","PowerPC Machines - PReP",739
"S390 Machines - S390 Virtio","S390 Machines - S390 Virtio",749
"SH4 Machines - R2D","SH4 Machines - R2D",339
"SH4 Machines - Shix","SH4 Machines - Shix",93
"SPARC Machines - Sun4m","SPARC Machines - Sun4m",1842
"SPARC Machines - Sun4u","SPARC Machines - Sun4u",929
"Subsystems - Block","Subsystems - Block",28405
"Subsystems - Character Devices","Subsystems - Character Devices",2905
"Subsystems - Checkpatch","Subsystems - Checkpatch",2907
"Subsystems - GDB stub","Subsystems - GDB stub",3453
"Subsystems - Graphics","Subsystems - Audio",12085
"Subsystems - Graphics","Subsystems - Cocoa graphics",1027
"Subsystems - Graphics","Subsystems - Graphics",16187
"Subsystems - Graphics","Subsystems - SPICE",4391
"Subsystems - Main loop","Subsystems - Main loop",3492
"Subsystems - Monitor (QMP/HMP)","Subsystems - Monitor (QMP/HMP)",4945
"Subsystems - Network device layer","Subsystems - Network device layer",4462
"Subsystems - SLIRP","Subsystems - SLIRP",11010
"Subsystems - Tracing","Subsystems - Tracing",620
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - ARM target",1945
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - Common code",25999
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - HPPA target",1831
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - i386 target",2148
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - IA64 target",2531
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - MIPS target",1648
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - PPC",2036
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - PPC64 target",1824
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - S390 target",2429
"Tiny Code Generator (TCG) - Common code","Tiny Code Generator (TCG) - SPARC target",1717
"Usermode Emulation - BSD user","Usermode Emulation - BSD user",7000
"Usermode Emulation - Darwin user","Usermode Emulation - Darwin user",5278
"Usermode Emulation - Linux user","Usermode Emulation - Linux user",43397
"X86 Machines - PC","X86 Machines - PC",0
"Xtensa Machines - Avnet LX60","Xtensa Machines - Avnet LX60",312
"Xtensa Machines - sim","Xtensa Machines - sim",116
