"c_representative","c_section","c_size"
"ARM Machines - ARM cores","ARM Machines - ARM cores",12234
"Block drivers - Bootdevice","Block drivers - Bootdevice",342
"Block drivers - Image format fuzzer","Block drivers - Image format fuzzer",1417
"Build and test automation","Build and test automation",1890
"Devices - Character devices","ARM Machines - ARM PrimeCell and CMSDK devices",5908
"Devices - Character devices","ARM Machines - Canon DIGIC",687
"Devices - Character devices","ARM Machines - Exynos",8128
"Devices - Character devices","ARM Machines - STM32F205",1497
"Devices - Character devices","Devices - Character devices",12666
"Devices - Character devices","Devices - IPack",1382
"Devices - Character devices","Devices - virtio-serial",1792
"Devices - Character devices","SPARC Machines - Leon3",1444
"Devices - Character devices","X86 Machines - PC Chipset",9139
"Devices - CHRP NVRAM","Devices - CHRP NVRAM",238
"Devices - EDU","Devices - EDU",421
"Devices - Generic Loader","Devices - Generic Loader",263
"Devices - Network devices","ARM Machines - Allwinner-a10",1598
"Devices - Network devices","ARM Machines - Calxeda Highbank",876
"Devices - Network devices","ARM Machines - i.MX31",7622
"Devices - Network devices","ARM Machines - Xilinx Zynq",6500
"Devices - Network devices","Devices - e1000e",4369
"Devices - Network devices","Devices - e1000x",480
"Devices - Network devices","Devices - Network devices",47799
"Devices - Network devices","Devices - Network packet abstractions",2762
"Devices - Network devices","Devices - Rocker",7292
"Devices - Network devices","Devices - Vmware",5313
"Devices - Network devices","M68K Machines - mcf5208",1626
"Devices - PCI","Devices - PCI",11558
"Devices - PCI","PowerPC Machines - New World",3857
"Devices - PCI","PowerPC Machines - Old World",3017
"Devices - SCSI","Devices - LSI53C895A",2275
"Devices - SCSI","Devices - megasas",3811
"Devices - SCSI","Devices - SCSI",23307
"Devices - SCSI","Devices - vhost",4510
"Devices - Unimplemented device","Devices - Unimplemented device",148
"Devices - USB","Devices - USB",37625
"Devices - USB","Devices - USB (serial adapter)",632
"Devices - VFIO","Devices - VFIO",8506
"Devices - VFIO","Devices - vfio-ccw",627
"Devices - Xilinx SPI","Devices - Xilinx SPI",1194
"Guest CPU Cores (KVM): - Overall","Guest CPU Cores (KVM): - Overall",3614
"Guest CPU cores (TCG): - Alpha","Guest CPU cores (TCG): - Alpha",9541
"Guest CPU cores (TCG): - ARM","ARM Machines - ARM ACPI Subsystem",901
"Guest CPU cores (TCG): - ARM","ARM Machines - Gumstix",159
"Guest CPU cores (TCG): - ARM","ARM Machines - Integrator CP",848
"Guest CPU cores (TCG): - ARM","ARM Machines - MPS2",738
"Guest CPU cores (TCG): - ARM","ARM Machines - Musicpal",1752
"Guest CPU cores (TCG): - ARM","ARM Machines - Netduino 2",50
"Guest CPU cores (TCG): - ARM","ARM Machines - nSeries",1457
"Guest CPU cores (TCG): - ARM","ARM Machines - Palm",279
"Guest CPU cores (TCG): - ARM","ARM Machines - PXA2XX",9460
"Guest CPU cores (TCG): - ARM","ARM Machines - Real View",718
"Guest CPU cores (TCG): - ARM","ARM Machines - Stellaris",2143
"Guest CPU cores (TCG): - ARM","ARM Machines - Versatile PB",1105
"Guest CPU cores (TCG): - ARM","ARM Machines - Xilinx ZynqMP",3480
"Guest CPU cores (TCG): - ARM","Devices - OMAP",18238
"Guest CPU cores (TCG): - ARM","Guest CPU Cores (KVM): - ARM",682
"Guest CPU cores (TCG): - ARM","Guest CPU cores (TCG): - ARM",102387
"Guest CPU cores (TCG): - ARM","Tiny Code Generator (TCG) - AArch64 target",17181
"Guest CPU cores (TCG): - ARM","Tiny Code Generator (TCG) - ARM target",6362
"Guest CPU cores (TCG): - CRIS","CRIS Machines - Axis Dev88",2607
"Guest CPU cores (TCG): - CRIS","Guest CPU cores (TCG): - CRIS",18283
"Guest CPU cores (TCG): - FPU emulation","Guest CPU cores (TCG): - FPU emulation",10789
"Guest CPU cores (TCG): - HPPA (PA-RISC)","Guest CPU cores (TCG): - HPPA (PA-RISC)",8014
"Guest CPU cores (TCG): - M68K","Guest CPU cores (TCG): - M68K",14046
