filename,lines,sections
.dir-locals.el,2,"""General Project Administration - All patches CC here"""
.editorconfig,15,"""General Project Administration - All patches CC here"""
.exrc,7,"""General Project Administration - All patches CC here"""
.gdbinit,8,"""General Project Administration - All patches CC here"""
.gitignore,142,"""General Project Administration - All patches CC here"""
.gitmodules,42,"""General Project Administration - All patches CC here"""
.mailmap,20,"""General Project Administration - All patches CC here"""
.shippable.yml,49,"""Build and test automation - Build and test automation"",""General Project Administration - All patches CC here"""
.travis.yml,198,"""Build and test automation - Build and test automation"",""General Project Administration - All patches CC here"""
CODING_STYLE,160,"""General Project Administration - All patches CC here"""
COPYING,339,"""General Project Administration - All patches CC here"""
COPYING.LIB,504,"""General Project Administration - All patches CC here"""
COPYING.PYTHON,270,"""General Project Administration - All patches CC here"""
Changelog,580,"""General Project Administration - All patches CC here"""
HACKING,236,"""General Project Administration - All patches CC here"""
LICENSE,21,"""General Project Administration - All patches CC here"""
MAINTAINERS,1991,"""General Project Administration - All patches CC here"""
Makefile,940,"""General Project Administration - All patches CC here"""
Makefile.objs,181,"""General Project Administration - All patches CC here"""
Makefile.target,227,"""General Project Administration - All patches CC here"""
README,106,"""General Project Administration - All patches CC here"""
VERSION,1,"""General Project Administration - All patches CC here"""
accel/Makefile.objs,4,"""General Project Administration - All patches CC here"""
accel/accel.c,134,"""General Project Administration - All patches CC here"""
accel/kvm/Makefile.objs,1,"""General Project Administration - All patches CC here"",""Guest CPU Cores (KVM): - Overall"""
accel/kvm/kvm-all.c,2518,"""General Project Administration - All patches CC here"",""Guest CPU Cores (KVM): - Overall"""
accel/kvm/trace-events,15,"""General Project Administration - All patches CC here"",""Guest CPU Cores (KVM): - Overall"""
accel/stubs/Makefile.objs,3,"""General Project Administration - All patches CC here"""
accel/stubs/hax-stub.c,34,"""General Project Administration - All patches CC here"""
accel/stubs/kvm-stub.c,163,"""General Project Administration - All patches CC here"""
accel/stubs/tcg-stub.c,22,"""General Project Administration - All patches CC here"""
accel/tcg/Makefile.objs,8,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/atomic_template.h,215,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/cpu-exec-common.c,84,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/cpu-exec.c,734,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/cputlb.c,1105,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/softmmu_template.h,433,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/tcg-all.c,92,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/tcg-runtime.c,168,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/tcg-runtime.h,136,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/trace-events,10,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/translate-all.c,2223,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/translate-all.h,36,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/translator.c,138,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"""
accel/tcg/user-exec-stub.c,34,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"",""Usermode Emulation - Overall"""
accel/tcg/user-exec.c,627,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"",""Usermode Emulation - Overall"""
arch_init.c,114,"""General Project Administration - All patches CC here"""
audio/Makefile.objs,19,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/alsaaudio.c,1228,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/audio.c,2068,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/audio.h,174,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/audio_int.h,261,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/audio_pt_int.c,174,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/audio_pt_int.h,22,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/audio_template.h,514,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/audio_win_int.c,108,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/audio_win_int.h,10,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/coreaudio.c,737,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/dsound_template.h,278,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/dsoundaudio.c,905,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/mixeng.c,400,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/mixeng.h,52,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/mixeng_template.h,154,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/noaudio.c,175,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/ossaudio.c,939,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/paaudio.c,953,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/rate_template.h,117,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/sdlaudio.c,515,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/spiceaudio.c,413,"""General Project Administration - All patches CC here"",""Subsystems - Audio"",""Subsystems - SPICE"""
audio/trace-events,17,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/wavaudio.c,293,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
audio/wavcapture.c,196,"""General Project Administration - All patches CC here"",""Subsystems - Audio"""
backends/Makefile.objs,10,"""General Project Administration - All patches CC here"""
backends/cryptodev-builtin.c,400,"""General Project Administration - All patches CC here"",""Subsystems - Cryptodev Backends"""
backends/cryptodev.c,271,"""General Project Administration - All patches CC here"",""Subsystems - Cryptodev Backends"""
backends/hostmem-file.c,170,"""General Project Administration - All patches CC here"",""Subsystems - Host Memory Backends"""
backends/hostmem-ram.c,55,"""General Project Administration - All patches CC here"",""Subsystems - Host Memory Backends"""
backends/hostmem.c,430,"""General Project Administration - All patches CC here"",""Subsystems - Host Memory Backends"""
backends/rng-egd.c,174,"""Devices - virtio-rng"",""General Project Administration - All patches CC here"""
backends/rng-random.c,153,"""Devices - virtio-rng"",""General Project Administration - All patches CC here"""
backends/rng.c,148,"""Devices - virtio-rng"",""General Project Administration - All patches CC here"""
backends/tpm.c,223,"""General Project Administration - All patches CC here"",""Subsystems - TPM"""
balloon.c,118,"""General Project Administration - All patches CC here"""
block.c,5086,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/Makefile.objs,49,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/accounting.c,185,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/backup.c,680,"""General Project Administration - All patches CC here"",""Subsystems - Block Jobs"",""Subsystems - Block layer core"""
block/blkdebug.c,925,"""Block drivers - blkdebug"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/blkreplay.c,153,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"",""Subsystems - Record/replay"""
block/blkverify.c,340,"""Block drivers - blkverify"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/block-backend.c,2052,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/bochs.c,310,"""Block drivers - bochs"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/cloop.c,307,"""Block drivers - cloop"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/commit.c,552,"""General Project Administration - All patches CC here"",""Subsystems - Block Jobs"",""Subsystems - Block layer core"""
block/crypto.c,636,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/crypto.h,101,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/curl.c,1032,"""Block drivers - CURL"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/dirty-bitmap.c,717,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"",""Subsystems - Dirty Bitmaps"""
block/dmg-bz2.c,61,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/dmg.c,714,"""Block drivers - dmg"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/dmg.h,59,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/file-posix.c,3051,"""Block drivers - raw"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/file-win32.c,784,"""Block drivers - raw"",""General Project Administration - All patches CC here"",""Hosts: - W32, W64"",""Subsystems - Block layer core"""
block/gluster.c,1543,"""Block drivers - GLUSTER"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/io.c,2721,"""General Project Administration - All patches CC here"",""Subsystems - Block I/O path"",""Subsystems - Block layer core"""
block/iscsi-opts.c,69,"""Block drivers - iSCSI"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/iscsi.c,2242,"""Block drivers - iSCSI"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/linux-aio.c,506,"""Block drivers - raw"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/mirror.c,1332,"""General Project Administration - All patches CC here"",""Subsystems - Block Jobs"",""Subsystems - Block layer core"""
block/nbd-client.c,871,"""Block drivers - Network Block Device (NBD)"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/nbd-client.h,64,"""Block drivers - Network Block Device (NBD)"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/nbd.c,632,"""Block drivers - Network Block Device (NBD)"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/nfs.c,922,"""Block drivers - NFS"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/null.c,304,"""Block drivers - Null Block Driver"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/parallels.c,812,"""Block drivers - parallels"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qapi.c,806,"""General Project Administration - All patches CC here"",""Subsystems - Block QAPI, monitor, command line"",""Subsystems - Block layer core"""
block/qcow.c,1128,"""Block drivers - qcow"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-bitmap.c,1492,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-cache.c,439,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-cluster.c,2089,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-refcount.c,3219,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-snapshot.c,738,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2.c,4391,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2.h,687,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
