filename,lines,sections
.cirrus.yml,109,"""Build and test automation - Windows Hosted Continuous Integration"",""General Project Administration - All patches CC here"""
.dir-locals.el,2,"""General Project Administration - All patches CC here"""
.editorconfig,49,"""General Project Administration - All patches CC here"""
.exrc,7,"""General Project Administration - All patches CC here"""
.gdbinit,8,"""General Project Administration - All patches CC here"""
.gitattributes,4,"""General Project Administration - All patches CC here"""
.github/workflows/lockdown.yml,30,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitignore,22,"""General Project Administration - All patches CC here"""
.gitlab-ci.d/base.yml,72,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/buildtest-template.yml,83,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/buildtest.yml,650,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/check-dco.py,94,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/check-patch.py,56,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/cirrus.yml,123,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/cirrus/README.rst,54,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/cirrus/build.yml,37,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/cirrus/freebsd-12.vars,16,"""Build and test automation - Build and test automation, general continuous integration"",""Build and test automation - FreeBSD Hosted Continuous Integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/cirrus/freebsd-13.vars,16,"""Build and test automation - Build and test automation, general continuous integration"",""Build and test automation - FreeBSD Hosted Continuous Integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/cirrus/kvm-build.yml,31,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"",""Guest CPU Cores (KVM) - Overall KVM CPUs"""
.gitlab-ci.d/cirrus/macos-12.vars,16,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"",""Hosts - Darwin (macOS, iOS)"""
.gitlab-ci.d/container-core.yml,12,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/container-cross.yml,173,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/container-template.yml,22,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/containers.yml,29,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/crossbuild-template.yml,53,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/crossbuilds.yml,204,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/custom-runners.yml,20,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/custom-runners/centos-stream-8-x86_64.yml,30,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/custom-runners/ubuntu-20.04-s390x.yml,131,"""Build and test automation - Build and test automation, general continuous integration"",""General Project Administration - All patches CC here"""
.gitlab-ci.d/custom-runners/ubuntu-22.04-aarch32.yml,25,"""Build and test automation - Build and test automation, general continuous integration"",""Build and test automation - GitLab custom runner (Works On Arm Sponsored)"",""General Project Administration - All patches CC here"""
