"c_representative","c_section","c_size"
"ANDROID AB","ANDROID AB",528
"ANDROID AVB","ANDROID AVB",9021
"ARC","ARC",6909
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",210
"ARC HSDK RESET","ARC HSDK RESET",133
"ARM","ARM",679250
"ARM","ARM ALTERA SOCFPGA",9832
"ARM","ARM FREESCALE IMX",139064
"ARM","ARM HISILICON",1192
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",47203
"ARM","ARM MARVELL PXA",4120
"ARM","ARM MICROCHIP/ATMEL AT91",15370
"ARM","ARM PHYTIUM",233
"ARM","ARM RENESAS RMOBILE/R-CAR",10416
"ARM","ARM SAMSUNG",19131
"ARM","ARM SNAPDRAGON",2831
"ARM","ARM STI",109
"ARM","ARM STM SPEAR",2409
"ARM","ARM STM STV0991",716
"ARM","ARM SUNXI",18195
"ARM","ARM TEGRA",27287
"ARM","ARM TI",15455
"ARM","ARM UNIPHIER",20781
"ARM","ARM VERSATILE EXPRESS DRIVERS",3839
"ARM","ARM/CZ.NIC TURRIS MOX SUPPORT",1796
"ARM","TI SYSTEM SECURITY",1817
"ARM ZYNQ","ARM BROADCOM BCMSTB",1016
"ARM ZYNQ","ARM ZYNQ",117094
"ARM ZYNQ","ARM ZYNQMP",38869
"ARM ZYNQ","ARM ZYNQMP R5",67
"ARM ZYNQ","FPGA",9696
"ARM ZYNQ","I2C",18679
"ARM ZYNQ","MICROBLAZE",95130
"ARM ZYNQ","NAND FLASH",37549
"ARM ZYNQ","SPI",27019
"ARM ZYNQ","SPI-NOR",6504
"BINMAN","BINMAN",16795
"BUILDMAN","BUILDMAN",12848
"CFI FLASH","CFI FLASH",2998
"COLDFIRE","COLDFIRE",24803
"EFI PAYLOAD","EFI PAYLOAD",36361
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",8578
"FREEBSD","FREEBSD",0
"FREESCALE QORIQ","FREESCALE QORIQ",135
"LOGGING","LOGGING",814
"NDS32","NDS32",4316
"NETWORK","MIPS",29628
"NETWORK","MIPS JZ4780",1921
"NETWORK","MIPS MSCC",13377
"NETWORK","NETWORK",117147
"NIOS","NIOS",3355
"ONENAND","ONENAND",3896
"PATMAN","PATMAN",5088
"PCI Endpoint","PCI Endpoint",1332
"PCI MPC85xx","PCI MPC85xx",158
"POWERPC","POWERPC",57712
"POWERPC","POWERPC MPC83XX",17503
"POWERPC","POWERPC MPC85XX",16744
"POWERPC","POWERPC MPC86XX",2741
"POWERPC","POWERPC MPC8XX",2137
"RISC-V","RISC-V",5547
"SANDBOX","SANDBOX",7130
"SH","SH",7267
"SPMI","SPMI",467
"TEE","TEE",3335
"TEE-lib","TEE-lib",251
"TQ GROUP","TQ GROUP",0
"UBI","UBI",16436
"UFS","UFS",3396
"USB","DFU",33676
"USB","ROCKUSB",1059
"USB","USB",95026
"USB","USB xHCI",6571
"VIDEO","ARC HSDK CGU CLOCK",796
"VIDEO","ARC SYNOPSYS DW MMC EXTENSIONS",232
"VIDEO","ARM AMLOGIC SOC SUPPORT",32976
"VIDEO","ARM BROADCOM BCM283X",3299
"VIDEO","ARM MEDIATEK",12874
"VIDEO","ARM OWL",550
"VIDEO","ARM ROCKCHIP",48465
"VIDEO","ARM STM STM32MP",19328
"VIDEO","ARM VERSAL",2105
"VIDEO","CLOCK",40551
"VIDEO","DRIVER MODEL",21943
"VIDEO","MALI DISPLAY PROCESSORS",685
"VIDEO","MMC",30541
"VIDEO","POWER",20274
"VIDEO","TDA19988 HDMI ENCODER",653
"VIDEO","VIDEO",70312
"X86","X86",81020
"XTENSA","XTENSA",5488
