from,to,lines,size
ARC,ARC,3720,81292
ARC,THE REST,3720,81292
ARM,ARM,457847,13726238
ARM,ARM ALTERA SOCFPGA,4499,136570
ARM,ARM ATMEL AT91,9844,290363
ARM,ARM BROADCOM BCM283X,1107,25426
ARM,ARM FREESCALE IMX,59152,2632767
ARM,ARM HISILICON,192,5765
ARM,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X,10498,300464
ARM,ARM MARVELL PXA,4167,153950
ARM,ARM RENESAS RMOBILE/R-CAR,26378,823574
ARM,ARM ROCKCHIP,6796,173989
ARM,ARM SAMSUNG,21092,552089
ARM,ARM SNAPDRAGON,351,8376
ARM,ARM STI,99,2850
ARM,ARM STM SPEAR,1981,41055
ARM,ARM STM STV0991,734,20204
ARM,ARM SUNXI,12826,391264
ARM,ARM TEGRA,25960,718759
ARM,ARM TI,16719,448178
ARM,ARM UNIPHIER,16243,398816
ARM,ARM ZYNQMP,1052,23569
ARM,THE REST,457847,13726238
ARM,TI SYSTEM SECURITY,625,17829
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,4499,136570
ARM ALTERA SOCFPGA,THE REST,4499,136570
ARM ATMEL AT91,ARM ATMEL AT91,9844,290363
ARM ATMEL AT91,THE REST,9844,290363
ARM BROADCOM BCM283X,ARM BROADCOM BCM283X,1793,43793
ARM BROADCOM BCM283X,DRIVER MODEL,25,433
ARM BROADCOM BCM283X,MMC,195,5611
ARM BROADCOM BCM283X,THE REST,1793,43793
ARM BROADCOM BCM283X,VIDEO,128,4030
ARM FREESCALE IMX,ARM FREESCALE IMX,72664,2976888
ARM FREESCALE IMX,THE REST,72664,2976888
ARM HISILICON,ARM HISILICON,192,5765
ARM HISILICON,THE REST,192,5765
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X,10498,300464
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X,THE REST,10498,300464
ARM MARVELL PXA,ARM MARVELL PXA,4167,153950
ARM MARVELL PXA,THE REST,4167,153950
ARM RENESAS RMOBILE/R-CAR,ARM RENESAS RMOBILE/R-CAR,26378,823574
ARM RENESAS RMOBILE/R-CAR,THE REST,26378,823574
ARM ROCKCHIP,ARM ROCKCHIP,6796,173989
ARM ROCKCHIP,THE REST,6796,173989
ARM SAMSUNG,ARM SAMSUNG,21092,552089
ARM SAMSUNG,THE REST,21092,552089
ARM SNAPDRAGON,ARM SNAPDRAGON,351,8376
ARM SNAPDRAGON,THE REST,351,8376
ARM STI,ARM STI,99,2850
ARM STI,THE REST,99,2850
ARM STM SPEAR,ARM STM SPEAR,1981,41055
ARM STM SPEAR,THE REST,1981,41055
ARM STM STV0991,ARM STM STV0991,734,20204
ARM STM STV0991,THE REST,734,20204
ARM SUNXI,ARM SUNXI,15271,460600
ARM SUNXI,THE REST,15271,460600
ARM TEGRA,ARM TEGRA,25960,718759
ARM TEGRA,THE REST,25960,718759
ARM TI,ARM TI,16719,448178
ARM TI,THE REST,16719,448178
ARM UNIPHIER,ARM UNIPHIER,21392,552414
ARM UNIPHIER,I2C,557,13441
ARM UNIPHIER,MMC,762,22169
ARM UNIPHIER,THE REST,21392,552414
ARM ZYNQ,ARM ZYNQ,0,0
ARM ZYNQMP,ARM ZYNQMP,1052,23569
ARM ZYNQMP,THE REST,1052,23569
AVR32,AVR32,4332,108866
AVR32,THE REST,4332,108866
BUILDMAN,BUILDMAN,8970,359913
BUILDMAN,THE REST,8970,359913
CFI FLASH,CFI FLASH,2974,76015
CFI FLASH,THE REST,2974,76015
COLDFIRE,COLDFIRE,23271,684237
COLDFIRE,THE REST,23271,684237
DFU,DFU,30151,773907
DFU,THE REST,30151,773907
DFU,USB,28547,738264
DRIVER MODEL,DRIVER MODEL,11552,316079
DRIVER MODEL,THE REST,11552,316079
EFI PAYLOAD,EFI PAYLOAD,3815,100567
EFI PAYLOAD,THE REST,3815,100567
FLATTENED DEVICE TREE,FLATTENED DEVICE TREE,11439,326488
FLATTENED DEVICE TREE,THE REST,11439,326488
FREEBSD,FREEBSD,0,0
FREESCALE QORIQ,FREESCALE QORIQ,0,0
I2C,I2C,16956,427390
I2C,THE REST,16956,427390
MICROBLAZE,MICROBLAZE,2614,59582
MICROBLAZE,THE REST,2614,59582
MIPS,MIPS,17934,473780
MIPS,THE REST,17934,473780
MMC,MMC,18231,449453
MMC,THE REST,18231,449453
NAND FLASH,NAND FLASH,31877,862488
NAND FLASH,THE REST,31877,862488
NDS32,NDS32,3662,89754
NDS32,THE REST,3662,89754
NETWORK,NETWORK,100043,2702757
NETWORK,THE REST,100043,2702757
NIOS,NIOS,3385,80869
NIOS,THE REST,3385,80869
ONENAND,ONENAND,3873,100970
ONENAND,THE REST,3873,100970
PATMAN,PATMAN,3930,131611
PATMAN,THE REST,3930,131611
POWER,POWER,12050,277293
POWER,THE REST,12050,277293
POWERPC,POWERPC,100280,2809454
POWERPC,POWERPC MPC5XXX,10681,261674
POWERPC,POWERPC MPC82XX,6815,176286
POWERPC,POWERPC MPC83XX,5542,140456
POWERPC,POWERPC MPC85XX,16844,446336
POWERPC,POWERPC MPC86XX,2776,59121
POWERPC,POWERPC MPC8XX,7559,191301
POWERPC,POWERPC PPC4XX,21054,583359
POWERPC,THE REST,100280,2809454
POWERPC MPC5XXX,POWERPC MPC5XXX,10681,261674
POWERPC MPC5XXX,THE REST,10681,261674
POWERPC MPC82XX,POWERPC MPC82XX,6815,176286
POWERPC MPC82XX,THE REST,6815,176286
POWERPC MPC83XX,POWERPC MPC83XX,5542,140456
POWERPC MPC83XX,THE REST,5542,140456
POWERPC MPC85XX,POWERPC MPC85XX,16844,446336
POWERPC MPC85XX,THE REST,16844,446336
POWERPC MPC86XX,POWERPC MPC86XX,2776,59121
POWERPC MPC86XX,THE REST,2776,59121
POWERPC MPC8XX,POWERPC MPC8XX,7559,191301
POWERPC MPC8XX,THE REST,7559,191301
POWERPC PPC4XX,POWERPC PPC4XX,21054,583359
POWERPC PPC4XX,THE REST,21054,583359
SANDBOX,SANDBOX,5055,115897
SANDBOX,THE REST,5055,115897
SH,SH,8578,193586
SH,THE REST,8578,193586
SPI,SPI,21993,568826
SPI,THE REST,21993,568826
SPMI,SPMI,464,11504
SPMI,THE REST,464,11504
THE REST,THE REST,2352350,68956146
THE REST,TI SYSTEM SECURITY,1125,29676
THE REST,UBI,16366,472374
THE REST,USB,88200,2331856
THE REST,VIDEO,44434,1528044
THE REST,X86,61596,1878165
THE REST,XTENSA,5620,173805
TI SYSTEM SECURITY,TI SYSTEM SECURITY,1125,29676
TQ GROUP,TQ GROUP,0,0
UBI,UBI,16366,472374
USB,USB,88200,2331856
VIDEO,VIDEO,44434,1528044
X86,X86,61596,1878165
XTENSA,XTENSA,5620,173805
