filename,lines,sections
.azure-pipelines.yml,560,"""THE REST"""
.checkpatch.conf,36,"""THE REST"""
.get_maintainer.conf,1,"""THE REST"""
.gitattributes,6,"""THE REST"""
.github/pull_request_template.md,6,"""THE REST"""
.gitignore,106,"""THE REST"""
.gitlab-ci.yml,454,"""THE REST"""
.mailmap,81,"""THE REST"""
.readthedocs.yml,24,"""THE REST"""
Kbuild,31,"""THE REST"""
Kconfig,625,"""THE REST"""
Licenses/Exceptions,15,"""THE REST"""
Licenses/OFL.txt,97,"""THE REST"""
Licenses/README,155,"""THE REST"""
Licenses/bsd-2-clause.txt,25,"""THE REST"""
Licenses/bsd-3-clause.txt,24,"""THE REST"""
Licenses/bzip2-1.0.6.txt,30,"""THE REST"""
Licenses/eCos-2.0.txt,43,"""THE REST"""
Licenses/gpl-2.0.txt,339,"""THE REST"""
Licenses/ibm-pibs.txt,17,"""THE REST"""
Licenses/isc.txt,17,"""THE REST"""
Licenses/lgpl-2.0.txt,481,"""THE REST"""
Licenses/lgpl-2.1.txt,502,"""THE REST"""
Licenses/mit.txt,20,"""THE REST"""
Licenses/r8a779x_usb3.txt,26,"""THE REST"""
Licenses/x11.txt,25,"""THE REST"""
MAINTAINERS,1504,"""THE REST"""
Makefile,2523,"""THE REST"""
README,3264,"""THE REST"""
api/Kconfig,8,"""THE REST"""
api/Makefile,8,"""THE REST"""
api/README,55,"""THE REST"""
api/api.c,715,"""THE REST"""
api/api_display.c,59,"""THE REST"""
api/api_net.c,114,"""THE REST"""
api/api_platform-arm.c,36,"""THE REST"""
api/api_platform-mips.c,30,"""THE REST"""
api/api_platform-powerpc.c,50,"""THE REST"""
api/api_private.h,35,"""THE REST"""
api/api_storage.c,377,"""THE REST"""
arch/.gitignore,1,"""THE REST"""
arch/Kconfig,484,"""THE REST"""
arch/Kconfig.nxp,253,"""THE REST"""
arch/arc/Kconfig,186,"""ARC"",""THE REST"""
arch/arc/Makefile,19,"""ARC"",""THE REST"""
arch/arc/config.mk,26,"""ARC"",""THE REST"""
arch/arc/cpu/arcv1/Makefile,5,"""ARC"",""THE REST"""
arch/arc/cpu/arcv1/ivt.S,26,"""ARC"",""THE REST"""
arch/arc/cpu/arcv2/Makefile,5,"""ARC"",""THE REST"""
arch/arc/cpu/arcv2/ivt.S,31,"""ARC"",""THE REST"""
arch/arc/cpu/u-boot.lds,63,"""ARC"",""THE REST"""
arch/arc/dts/Makefile,21,"""ARC"",""THE REST"""
arch/arc/dts/abilis_tb100.dts,31,"""ARC"",""THE REST"""
arch/arc/dts/axc001.dtsi,18,"""ARC"",""THE REST"""
arch/arc/dts/axc003.dtsi,18,"""ARC"",""THE REST"""
arch/arc/dts/axs101.dts,18,"""ARC"",""THE REST"""
arch/arc/dts/axs103.dts,18,"""ARC"",""THE REST"""
arch/arc/dts/axs10x_mb.dtsi,123,"""ARC"",""THE REST"""
arch/arc/dts/emsdp.dts,58,"""ARC"",""THE REST"""
arch/arc/dts/hsdk-4xd.dts,12,"""ARC"",""THE REST"""
arch/arc/dts/hsdk-common.dtsi,160,"""ARC"",""THE REST"""
arch/arc/dts/hsdk.dts,12,"""ARC"",""THE REST"""
arch/arc/dts/iot_devkit.dts,67,"""ARC"",""THE REST"""
arch/arc/dts/nsim.dts,57,"""ARC"",""THE REST"""
arch/arc/dts/skeleton.dtsi,30,"""ARC"",""THE REST"""
arch/arc/include/asm/arc-bcr.h,77,"""ARC"",""THE REST"""
arch/arc/include/asm/arcregs.h,135,"""ARC"",""THE REST"""
arch/arc/include/asm/bitops.h,23,"""ARC"",""THE REST"""
arch/arc/include/asm/byteorder.h,22,"""ARC"",""THE REST"""
arch/arc/include/asm/cache.h,49,"""ARC"",""THE REST"""
arch/arc/include/asm/config.h,9,"""ARC"",""THE REST"""
arch/arc/include/asm/dma-mapping.h,1,"""ARC"",""THE REST"""
arch/arc/include/asm/global_data.h,23,"""ARC"",""THE REST"""
arch/arc/include/asm/gpio.h,1,"""ARC"",""THE REST"""
arch/arc/include/asm/io.h,254,"""ARC"",""THE REST"""
