"c_representative","c_section","c_size"
"ACPI & POWER MANAGEMENT","ACPI & POWER MANAGEMENT",12019
"AMD IOMMU","AMD IOMMU",3637
"AMD SVM","AMD SVM",3103
"CPU POOLS","CPU POOLS",660
"INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",654
"INTEL(R) VT FOR DIRECTED I/O (VT-D)","INTEL(R) VT FOR DIRECTED I/O (VT-D)",6743
"LINUX (PV_OPS)","LINUX (PV_OPS)",0
"LINUX (XCP)","LINUX (XCP)",0
"MACHINE CHECK (MCA) & RAS","MACHINE CHECK (MCA) & RAS",5386
"MINI-OS","MINI-OS",24945
"QEMU-DM","QEMU-DM",0
"SCHEDULING","SCHEDULING",7333
"STUB DOMAINS","STUB DOMAINS",11586
"TOOLSTACK","GDBSX DEBUGGER",2895
"TOOLSTACK","KDD DEBUGGER",2212
"TOOLSTACK","TOOLSTACK",409279
"TOOLSTACK","XENTRACE",3559
"TRANSCENDENT MEMORY (TMEM)","TRANSCENDENT MEMORY (TMEM)",4817
"USB PV DRIVERS","USB PV DRIVERS",0
"X86 MEMORY MANAGEMENT","INTEL(R) VT FOR X86 (VT-X)",7061
"X86 MEMORY MANAGEMENT","X86 MEMORY MANAGEMENT",18335
