"c_representative","c_section","c_size"
"ARGO","ARGO",2657
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",91686
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM SMMU",2978
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM SMMUv3",2783
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","IMX8QM/QXP SUPPORT",394
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","LIVEPATCH",7968
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","NXP S32G3 PROCESSORS FAMILY SUPPORT",444
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","TEE MEDIATORS",6349
"Change Log","Change Log",299
"Continuous Integration (CI)","Continuous Integration (CI)",8471
"Continuous Integration (CI)","ECLAIR",2836
"DEVICE TREE","DEVICE TREE",12040
"FUSA","FUSA",930
"IOMMU VENDOR INDEPENDENT CODE","IOMMU VENDOR INDEPENDENT CODE",5426
"KCONFIG","KCONFIG",21129
"MINI-OS","MINI-OS",10
"OVMF UPSTREAM","OVMF UPSTREAM",0
"PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS","PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS",8347
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"SCHEDULING","ARINC653 SCHEDULER",839
"SCHEDULING","RTDS SCHEDULER",1585
"SCHEDULING","SCHEDULING",15867
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","STUB DOMAINS",35055
"STUB DOMAINS","VTPM",12913
"TOOLSTACK","9PFSD",2472
"TOOLSTACK","GDBSX DEBUGGER",2710
"TOOLSTACK","GOLANG BINDINGS",8415
"TOOLSTACK","HYPFS",1798
"TOOLSTACK","KDD DEBUGGER",2560
"TOOLSTACK","LIBS",125535
"TOOLSTACK","OCAML TOOLS",11296
"TOOLSTACK","PYTHON BINDINGS",5902
"TOOLSTACK","REMUS",1154
"TOOLSTACK","TOOLSTACK",342229
"TOOLSTACK","VPCI",3820
"TOOLSTACK","XENSTORE",15722
"TOOLSTACK","XSM/FLASK",17229
"X86 ARCHITECTURE","ACPI",21808
"X86 ARCHITECTURE","EFI",7975
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",696
"X86 ARCHITECTURE","KEXEC",425
"X86 ARCHITECTURE","POWER MANAGEMENT",6520
"X86 ARCHITECTURE","PPC64",5208
"X86 ARCHITECTURE","RISCV",6478
"X86 ARCHITECTURE","VM EVENT, MEM ACCESS and MONITOR",5691
"X86 ARCHITECTURE","X86 ARCHITECTURE",279231
"X86 ARCHITECTURE","X86 MEMORY PAGING",485
"X86 ARCHITECTURE","X86 MEMORY SHARING",2341
"X86 ARCHITECTURE","X86 SHADOW PAGETABLES",10673
"X86 ARCHITECTURE","X86 VIRIDIAN ENLIGHTENMENTS",4100
"XEN MISRA ANALYSIS TOOLS","XEN MISRA ANALYSIS TOOLS",2214
