"c_representative","c_section","c_size"
"AMD IOMMU","AMD IOMMU",6170
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",24429
"CPU POOLS","CPU POOLS",718
"DEVICE TREE","DEVICE TREE",5674
"EVENT CHANNELS (FIFO-BASED ABI)","EVENT CHANNELS (FIFO-BASED ABI)",578
"INTEL(R) VT FOR DIRECTED I/O (VT-D)","INTEL(R) VT FOR DIRECTED I/O (VT-D)",6643
"IOMMU VENDOR INDEPENDENT CODE","IOMMU VENDOR INDEPENDENT CODE",2714
"LINUX (PV_OPS)","LINUX (PV_OPS)",0
"LINUX (XCP)","LINUX (XCP)",0
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"SCHEDULING","ARINC653 SCHEDULER",865
"SCHEDULING","SCHEDULING",8093
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","MINI-OS",22298
"STUB DOMAINS","STUB DOMAINS",27092
"STUB DOMAINS","VTPM",9935
"TOOLSTACK","GDBSX DEBUGGER",2858
"TOOLSTACK","KDD DEBUGGER",2211
"TOOLSTACK","OCAML TOOLS",11024
"TOOLSTACK","REMUS",6057
"TOOLSTACK","TOOLSTACK",377540
"TOOLSTACK","XENTRACE",3580
"TOOLSTACK","XSM/FLASK",16063
"TRANSCENDENT MEMORY (TMEM)","TRANSCENDENT MEMORY (TMEM)",4670
"UNMODIFIED LINUX PV DRIVERS","UNMODIFIED LINUX PV DRIVERS",1773
"USB PV DRIVERS","USB PV DRIVERS",0
"X86 ARCHITECTURE","ACPI",16715
"X86 ARCHITECTURE","AMD SVM",5808
"X86 ARCHITECTURE","EFI",5994
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",699
"X86 ARCHITECTURE","INTEL(R) VT FOR X86 (VT-X)",10161
"X86 ARCHITECTURE","KEXEC",408
"X86 ARCHITECTURE","MACHINE CHECK (MCA) & RAS",5363
"X86 ARCHITECTURE","POWER MANAGEMENT",5316
"X86 ARCHITECTURE","X86 ARCHITECTURE",143082
"X86 ARCHITECTURE","X86 MEMORY MANAGEMENT",20290
"X86 ARCHITECTURE","X86 MEMORY SHARING AND PAGING",3943
