"c_representative","c_section","c_size"
"AMD IOMMU","AMD IOMMU",8058
"ARGO","ARGO",2643
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",89719
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM SMMU",2978
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM SMMUv3",2782
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","LIVEPATCH",7920
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","TEE MEDIATORS",4990
"Change Log","Change Log",228
"Continuous Integration (CI)","Continuous Integration (CI)",7503
"Continuous Integration (CI)","ECLAIR",2300
"DEVICE TREE","DEVICE TREE",10490
"I/O EMULATION (IOREQ)","I/O EMULATION (IOREQ)",1719
"INTEL(R) VT FOR DIRECTED I/O (VT-D)","INTEL(R) VT FOR DIRECTED I/O (VT-D)",7924
"IOMMU VENDOR INDEPENDENT CODE","IOMMU VENDOR INDEPENDENT CODE",5178
"KCONFIG","KCONFIG",21129
"MINI-OS","MINI-OS",10
"OVMF UPSTREAM","OVMF UPSTREAM",0
"PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS","PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS",8305
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"RISCV","RISCV",2581
"SCHEDULING","ARINC653 SCHEDULER",833
"SCHEDULING","CPU POOLS",1573
"SCHEDULING","RTDS SCHEDULER",1590
"SCHEDULING","SCHEDULING",15838
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","STUB DOMAINS",34469
"STUB DOMAINS","VTPM",12911
"TOOLSTACK","GDBSX DEBUGGER",2710
"TOOLSTACK","GOLANG BINDINGS",8323
"TOOLSTACK","HYPFS",1797
"TOOLSTACK","KDD DEBUGGER",2560
"TOOLSTACK","LIBS",124031
"TOOLSTACK","OCAML TOOLS",10831
"TOOLSTACK","PYTHON BINDINGS",5897
"TOOLSTACK","REMUS",1154
"TOOLSTACK","TOOLSTACK",336471
"TOOLSTACK","VPCI",3022
"TOOLSTACK","XENSTORE",15664
"TOOLSTACK","XENTRACE",15438
"TOOLSTACK","XSM/FLASK",17220
"VM EVENT, MEM ACCESS and MONITOR","PPC64",5389
"VM EVENT, MEM ACCESS and MONITOR","VM EVENT, MEM ACCESS and MONITOR",5608
"X86 ARCHITECTURE","ACPI",21772
"X86 ARCHITECTURE","AMD SVM",6698
"X86 ARCHITECTURE","EFI",7681
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",694
"X86 ARCHITECTURE","INTEL(R) VT FOR X86 (VT-X)",15055
"X86 ARCHITECTURE","KEXEC",435
"X86 ARCHITECTURE","POWER MANAGEMENT",6521
"X86 ARCHITECTURE","X86 ARCHITECTURE",261941
"X86 ARCHITECTURE","X86 I/O EMULATION",4765
"X86 ARCHITECTURE","X86 MEMORY MANAGEMENT",25147
"X86 ARCHITECTURE","X86 MEMORY PAGING",488
"X86 ARCHITECTURE","X86 MEMORY SHARING",2347
"X86 ARCHITECTURE","X86 SHADOW PAGETABLES",10695
"X86 ARCHITECTURE","X86 VIRIDIAN ENLIGHTENMENTS",4104
"XEN MISRA ANALYSIS TOOLS","XEN MISRA ANALYSIS TOOLS",2164
