from,to,lines,size
ACPI,ACPI,21474,666242
ACPI,POWER MANAGEMENT,3949,115414
ACPI,THE REST,21474,666242
ACPI,TOOLSTACK,3616,124120
ACPI,X86 ARCHITECTURE,4520,129509
AMD IOMMU,AMD IOMMU,7341,221536
AMD IOMMU,THE REST,7341,221536
AMD SVM,AMD SVM,6418,191570
AMD SVM,THE REST,6418,191570
AMD SVM,X86 ARCHITECTURE,6418,191570
ARGO,ARGO,2666,79557
ARGO,THE REST,2666,79557
ARINC653 SCHEDULER,ARINC653 SCHEDULER,827,25769
ARINC653 SCHEDULER,SCHEDULING,740,22927
ARINC653 SCHEDULER,THE REST,827,25769
ARINC653 SCHEDULER,TOOLSTACK,87,2842
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,73845,2150017
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,LIVEPATCH,1047,28920
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,TEE MEDIATORS,3127,95786
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,THE REST,73845,2150017
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,"VM EVENT, MEM ACCESS and MONITOR",788,21938
CPU POOLS,CPU POOLS,1027,25904
CPU POOLS,SCHEDULING,1027,25904
CPU POOLS,THE REST,1027,25904
Change Log,Change Log,36,1677
Change Log,THE REST,36,1677
Continuous Integration (CI),Continuous Integration (CI),2072,48460
Continuous Integration (CI),THE REST,2072,48460
DEVICE TREE,DEVICE TREE,6865,209368
DEVICE TREE,THE REST,6865,209368
EFI,EFI,6926,204766
EFI,THE REST,6926,204766
EFI,X86 ARCHITECTURE,1561,49079
GDBSX DEBUGGER,GDBSX DEBUGGER,2825,75322
GDBSX DEBUGGER,THE REST,2825,75322
GDBSX DEBUGGER,TOOLSTACK,2639,69900
GDBSX DEBUGGER,X86 ARCHITECTURE,186,5422
GOLANG BINDINGS,GOLANG BINDINGS,7995,236048
GOLANG BINDINGS,THE REST,7995,236048
GOLANG BINDINGS,TOOLSTACK,7995,236048
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),718,23087
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),THE REST,718,23087
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),X86 ARCHITECTURE,718,23087
INTEL(R) VT FOR DIRECTED I/O (VT-D),INTEL(R) VT FOR DIRECTED I/O (VT-D),7429,226143
INTEL(R) VT FOR DIRECTED I/O (VT-D),THE REST,7429,226143
INTEL(R) VT FOR X86 (VT-X),INTEL(R) VT FOR X86 (VT-X),14307,447582
INTEL(R) VT FOR X86 (VT-X),THE REST,14307,447582
INTEL(R) VT FOR X86 (VT-X),X86 ARCHITECTURE,14307,447582
INTEL(R) VT FOR X86 (VT-X),X86 MEMORY MANAGEMENT,1409,41661
IOMMU VENDOR INDEPENDENT CODE,IOMMU VENDOR INDEPENDENT CODE,4389,125806
IOMMU VENDOR INDEPENDENT CODE,THE REST,4389,125806
KCONFIG,KCONFIG,21410,524373
KCONFIG,THE REST,21410,524373
KDD DEBUGGER,KDD DEBUGGER,2559,80167
KDD DEBUGGER,THE REST,2559,80167
KDD DEBUGGER,TOOLSTACK,2559,80167
KEXEC,KEXEC,411,10918
KEXEC,THE REST,411,10918
KEXEC,X86 ARCHITECTURE,411,10918
LIBXENLIGHT,LIBXENLIGHT,88234,2811207
LIBXENLIGHT,REMUS,818,22134
LIBXENLIGHT,THE REST,88234,2811207
LIBXENLIGHT,TOOLSTACK,88234,2811207
LIVEPATCH,LIVEPATCH,7814,239446
LIVEPATCH,THE REST,7814,239446
LIVEPATCH,TOOLSTACK,638,16572
LIVEPATCH,X86 ARCHITECTURE,386,10327
MINI-OS,MINI-OS,10,327
MINI-OS,THE REST,10,327
OCAML TOOLS,OCAML TOOLS,12678,398980
OCAML TOOLS,THE REST,12678,398980
OCAML TOOLS,TOOLSTACK,12678,398980
OVMF UPSTREAM,OVMF UPSTREAM,0,0
POWER MANAGEMENT,POWER MANAGEMENT,5730,166091
POWER MANAGEMENT,THE REST,5730,166091
POWER MANAGEMENT,X86 ARCHITECTURE,3641,105119
PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS,PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS,8067,342269
PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS,THE REST,8067,342269
PYTHON BINDINGS,PYTHON BINDINGS,6202,189285
PYTHON BINDINGS,THE REST,6202,189285
PYTHON BINDINGS,TOOLSTACK,6202,189285
QEMU UPSTREAM,QEMU UPSTREAM,0,0
QEMU-DM,QEMU-DM,0,0
REMUS,REMUS,1154,32888
REMUS,THE REST,1154,32888
REMUS,TOOLSTACK,1134,31763
RTDS SCHEDULER,RTDS SCHEDULER,1559,45372
RTDS SCHEDULER,SCHEDULING,1559,45372
RTDS SCHEDULER,THE REST,1559,45372
SCHEDULING,SCHEDULING,14971,461661
SCHEDULING,THE REST,14971,461661
SEABIOS UPSTREAM,SEABIOS UPSTREAM,0,0
STUB DOMAINS,STUB DOMAINS,34094,1020422
STUB DOMAINS,THE REST,34094,1020422
STUB DOMAINS,TOOLSTACK,5825,165805
STUB DOMAINS,VTPM,12656,383675
TEE MEDIATORS,TEE MEDIATORS,3127,95786
TEE MEDIATORS,THE REST,3127,95786
THE REST,THE REST,886073,26757615
THE REST,TOOLSTACK,331702,9952807
THE REST,"VM EVENT, MEM ACCESS and MONITOR",5529,160491
THE REST,VPCI,2168,65598
THE REST,VTPM,12797,390303
THE REST,X86 ARCHITECTURE,250154,7614873
THE REST,X86 I/O EMULATION,6128,171272
THE REST,X86 MEMORY MANAGEMENT,24323,765541
THE REST,X86 MEMORY PAGING,500,14876
THE REST,X86 MEMORY SHARING,2434,67194
THE REST,X86 SHADOW PAGETABLES,10647,367662
THE REST,X86 VIRIDIAN ENLIGHTENMENTS,3836,106018
THE REST,XENTRACE,15374,457922
THE REST,XSM/FLASK,16918,461100
TOOLSTACK,TOOLSTACK,331702,9952807
TOOLSTACK,"VM EVENT, MEM ACCESS and MONITOR",979,29205
TOOLSTACK,X86 ARCHITECTURE,50011,1484447
TOOLSTACK,X86 MEMORY SHARING,238,6650
TOOLSTACK,XENTRACE,14374,429624
TOOLSTACK,XSM/FLASK,1656,47866
"VM EVENT, MEM ACCESS and MONITOR","VM EVENT, MEM ACCESS and MONITOR",5529,160491
"VM EVENT, MEM ACCESS and MONITOR",X86 ARCHITECTURE,2003,58028
"VM EVENT, MEM ACCESS and MONITOR",X86 MEMORY MANAGEMENT,542,15067
VPCI,VPCI,2168,65598
VTPM,VTPM,12797,390303
X86 ARCHITECTURE,X86 ARCHITECTURE,250154,7614873
X86 ARCHITECTURE,X86 I/O EMULATION,5985,166222
X86 ARCHITECTURE,X86 MEMORY MANAGEMENT,24323,765541
X86 ARCHITECTURE,X86 MEMORY PAGING,500,14876
X86 ARCHITECTURE,X86 MEMORY SHARING,2196,60544
